page|75
项目|附 注|2019 年度|2018 年度
一、营业总收入||956,557,941.11|940,969,258.44
其中：营业收入||956,557,941.11|940,969,258.44
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||827,500,497.93|794,746,306.03
其中：营业成本||652,420,686.69|633,276,693.27
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||4,794,089.73|6,658,069.62
销售费用||69,704,861.64|66,474,139.03
管理费用||56,425,894.13|48,815,410.28
研发费用||42,442,132.96|37,849,138.00
财务费用||1,712,832.78|1,672,855.83
其中：利息费用||2,176,821.47|2,637,471.52
利息收入||748,765.54|643,446.31
加：其他收益||11,335,386.10|12,025,594.91
投资收益（损失以“－”号填列）||6,957,594.51|1,198,601.05
其中：对联营企业|||
page|76
和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||138,136.71|
信用减值损失（损失以“-”号填列）||-5,435,442.05|
资产减值损失（损失以“-”号填列）||-3,708,357.78|-5,483,280.50
资产处置收益（损失以“－”号填列）||-645,068.54|-82,562.67
三、营业利润（亏损以“－”号填列）||137,699,692.13|153,881,305.20
加：营业外收入||46,324.92|56,287.52
减：营业外支出||330,198.14|2,335,163.79
四、利润总额（亏损总额以“－”号填列）||137,415,818.91|151,602,428.93
减：所得税费用||17,953,561.20|19,906,091.59
五、净利润（净亏损以“－”号填列）||119,462,257.71|131,696,337.34
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||119,462,257.71|131,696,337.34
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||117,275,852.35|129,186,765.73
2.少数股东损益（净亏损以“-”号填列）||2,186,405.36|2,509,571.61
六、其他综合收益的税后净额||-237.44|-3,667.86
（一）归属母公司所有者的其他综合收益的税后净额||-237.44|-3,667.86
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
page|77
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-237.44|-3,667.86
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-237.44|-3,667.86
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||119,462,020.27|131,692,669.48
（一）归属于母公司所有者的综合收益总额||117,275,614.91|129,183,097.87
（二）归属于少数股东的综合收益总额||2,186,405.36|2,509,571.61
八、每股收益：|||
（一）基本每股收益(元/股)||0.61|0.83
（二）稀释每股收益(元/股)||0.61|0.83
