page|116
(除另有注明外，金额单位均为人民币百万元)|||||
|||本集团||本银行
||2020 年|2019 年|2020 年|2019 年
|附注九|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
资产|||||
现金及存放中央银行款项|1|204,082|192,911|203,182|192,428
存放同业款项|2|18,505|15,938|18,356|15,896
拆出资金|3|36,470|23,461|38,380|23,961
衍生金融资产|4|12,361|926|12,361|926
买入返售金融资产|5|24,776|24,050|23,582|24,050
发放贷款和垫款|6|2,059,825|1,829,171|1,948,555|1,732,552
金融投资|||||
交易性金融资产|7|123,848|89,783|123,547|89,783
债权投资|8|702,909|675,286|700,879|673,615
其他债权投资|9|172,926|129,400|172,926|129,400
其他权益工具投资|10|5,484|4,961|5,472|4,946
长期股权投资|11|-|-|8,090|5,090
固定资产|12|13,584|13,466|13,553|13,435
无形资产||86|80|73|75
递延所得税资产|13|10,155|8,574|9,432|7,886
其他资产|14|14,805|12,782|13,049|10,774
||_______|_______|_______|_______
资产总计||3,399,816|3,020,789|3,291,437|2,924,817
||_______|_______|_______|_______
page|117
(除另有注明外，金额单位均为人民币百万元)|||||
||本集团||本银行|
||2020 年|2019 年|2020 年|2019 年
|附注九|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
负债|||||
向中央银行借款|16|131,036|143,617|130,939|143,566
同业及其他金融机构存放款项|17|434,992|302,337|440,136|303,561
拆入资金|18|109,017|104,064|19,905|26,409
衍生金融负债|4|12,365|1,802|12,365|1,802
卖出回购金融资产款|19|49,155|93,774|47,975|93,423
吸收存款|20|1,837,020|1,671,276|1,834,258|1,669,062
应付职工薪酬|21|6,961|6,647|6,802|6,526
应交税费|22|7,740|5,572|7,257|5,083
应付债务凭证|23|511,814|403,584|504,702|398,495
预计负债|24|2,309|2,147|2,302|2,135
其他负债|25|14,752|16,632|8,283|9,911
||_______|_______|_______|_______
负债合计||3,117,161|2,751,452|3,014,924|2,659,973
||_______|_______|_______|_______
股东权益|||||
股本|26|15,387|15,387|15,387|15,387
其他权益工具|27|59,971|59,971|59,971|59,971
其中：优先股||19,978|19,978|19,978|19,978
永续债||39,993|39,993|39,993|39,993
资本公积|28|53,292|53,292|53,291|53,291
其他综合收益|41|(714)|1,084|(706)|1,087
盈余公积|29|17,756|15,662|17,756|15,662
一般风险准备|30|38,683|34,706|37,424|33,753
未分配利润|31|96,238|87,486|93,390|85,693
||_______|_______|_______|_______
归属于母公司股东权益合计||280,613|267,588|276,513|264,844
少数股东权益||2,042|1,749|-|-
||_______|_______|_______|_______
股东权益合计||282,655|269,337|276,513|264,844
||_______|_______|_______|_______
负债及股东权益总计||3,399,816|3,020,789|3,291,437|2,924,817
||_______|_______|_______|_______
