page|67
项目|附注（六）|2020 年度|2019 年度
一、营业总收入|||133,577,639,721.75 144,023,626,070.75
其中：营业收入|61||133,577,639,721.75 144,023,626,070.75
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||129,318,711,285.02 138,886,788,865.94
其中：营业成本|61||113,232,964,203.43 123,195,390,493.44
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|483,369,876.42|492,930,363.29
销售费用|63|1,739,030,349.65|1,960,547,689.89
管理费用|64|8,252,025,285.19|8,030,770,156.65
研发费用|65|5,572,853,282.82|5,264,534,986.01
财务费用|66|38,468,287.51|-57,384,823.34
其中：利息费用||412,262,627.62|428,659,341.62
利息收入||601,136,511.77|589,674,529.72
加：其他收益|67|428,515,081.56|482,085,431.02
投资收益（损失以“－”号填列）|68|3,575,073,350.06|3,809,097,899.43
其中：对联营企业和合营企业的投资收益||2,518,955,433.31|3,363,036,867.74
以摊余成本计量的金融资产终止确认收益|||
page|68
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-347,867.00|
信用减值损失（损失以“-”号填列）|71|-82,666,435.64|-230,073,848.80
资产减值损失（损失以“-”号填列）|72|-319,082,713.84|-176,816,846.03
资产处置收益（损失以“－”号填列）|73|58,802,149.58|135,568,150.71
三、营业利润（亏损以“－”号填列）||7,919,222,001.45|9,156,697,991.14
加：营业外收入|74|86,977,244.15|416,322,468.40
减：营业外支出|75|66,299,653.79|138,174,843.84
四、利润总额（亏损总额以“－”号填列）||7,939,899,591.81|9,434,845,615.70
减：所得税费用|76|961,815,542.67|918,551,163.81
五、净利润（净亏损以“－”号填列）||6,978,084,049.14|8,516,294,451.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||6,978,084,049.14|8,516,294,451.89
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||5,403,276,869.51|6,463,163,298.95
2.少数股东损益（净亏损以“-”号填列）||1,574,807,179.63|2,053,131,152.94
六、其他综合收益的税后净额||97,208,183.45|1,048,670,798.95
（一）归属母公司所有者的其他综合收益的税后净额|77|122,275,793.53|1,048,416,230.79
1．不能重分类进损益的其他综合收益||310,763,573.87|1,047,460,771.27
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||-4,550,944.60|-25,556,280.54
（3）其他权益工具投资公允价值变动||315,314,518.47|1,073,017,051.81
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-188,487,780.34|955,459.52
（1）权益法下可转损益的其他综合收益||-34,122,920.04|3,508,303.32
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
page|69
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-154,364,860.30|-2,552,843.80
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|35|-25,067,610.08|254,568.16
七、综合收益总额||7,075,292,232.59|9,564,965,250.84
（一）归属于母公司所有者的综合收益总额||5,525,552,663.04|7,511,579,529.74
（二）归属于少数股东的综合收益总额||1,549,739,569.55|2,053,385,721.10
八、每股收益：|||
（一）基本每股收益(元/股)|52|1.714|2.050
（二）稀释每股收益(元/股)|52|不适用|不适用
