page|70
项目|附注（六）|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||131,721,373,147.12|146,294,871,904.26
客户存款和同业存放款项净增加额|||
page|71
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||1,618,630,633.80|1,721,709,366.56
经营活动现金流入小计||133,340,003,780.92|148,016,581,270.82
购买商品、接受劳务支付的现金||94,910,634,314.91|107,132,543,141.56
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||14,014,024,282.62|15,907,986,770.33
支付的各项税费||4,225,763,570.00|5,099,382,704.68
支付其他与经营活动有关的现金||10,813,324,267.82|10,220,321,302.08
经营活动现金流出小计||123,963,746,435.35|138,360,233,918.65
经营活动产生的现金流量净额|80(1)|9,376,257,345.57|9,656,347,352.17
二、投资活动产生的现金流量：|||
取得或处置子公司和其他经营单位收到的现金净额|附注(七)1|477,338,387.00|140,208,755.54
收回投资收到的现金||1,312,273,753.91|1,000,868,462.88
取得投资收益收到的现金||3,296,435,930.23|2,972,284,020.26
处置固定资产、无形资产和其他长期资产收回的现金净额||336,426,206.72|582,298,225.47
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||5,422,474,277.86|4,695,659,464.15
购建固定资产、无形资产和其他长期资产支付的现金||4,003,974,674.77|5,706,306,810.54
page|72
投资支付的现金||1,012,882,504.26|589,884,689.27
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||37,504,484.22
支付其他与投资活动有关的现金|||
投资活动现金流出小计||5,016,857,179.03|6,333,695,984.03
投资活动产生的现金流量净额||405,617,098.83|-1,638,036,519.88
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||55,952,870.00|89,131,500.00
其中：子公司吸收少数股东投资收到的现金||55,952,870.00|89,131,500.00
取得借款收到的现金||9,116,573,937.02|6,269,912,368.01
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||9,172,526,807.02|6,359,043,868.01
偿还债务支付的现金||8,832,529,343.01|6,001,720,556.36
分配股利、利润或偿付利息支付的现金||4,549,976,404.37|5,518,010,391.24
其中：子公司支付给少数股东的股利、利润||1,444,047,872.21|1,768,628,107.12
支付其他与筹资活动有关的现金|79(6)|2,174,619,007.14|474,867,280.46
筹资活动现金流出小计||15,557,124,754.52|11,994,598,228.06
筹资活动产生的现金流量净额||-6,384,597,947.50|-5,635,554,360.05
四、汇率变动对现金及现金等价物的影响||-6,962,507.41|-5,488,698.36
五、现金及现金等价物净增加额  80(4)||3,390,313,989.49|2,377,267,773.88
加：期初现金及现金等价物余额|80(4)|32,159,912,709.31|29,782,644,935.43
六、期末现金及现金等价物余额  80(4)||35,550,226,698.80|32,159,912,709.31
