page|79
项目|附注七|2021 年度|2020 年度
一、营业总收入|附注七（61）|1,200,514,740.14|1,101,607,723.36
其中：营业收入|附注七（61）|1,200,514,740.14|1,101,607,723.36
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|附注七（61）|1,172,935,587.6|1,019,335,583.55
其中：营业成本|附注七（61）|999,900,037.32|848,996,365.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|附注七（62）|4,598,488.08|4,381,660.64
销售费用|附注七（63）|17,638,996.52|18,337,405.01
管理费用|附注七（64）|63,310,115.74|62,155,407.99
研发费用|附注七（65）|82,131,104.78|66,422,135.44
财务费用|附注七（66）|5,356,845.16|19,042,609.38
其中：利息费用|附注七（66）|806,332.97|149,678.37
利息收入|附注七（66）|4,892,630.24|1,584,941.62
加：其他收益|附注七（67）|2,757,123.47|1,801,473.72
投资收益（损失以“－”号填列）|附注七（68）|24,061,359.28|6,971,502.58
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
page|80
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|附注七（70）|-6,998,073.26|7,404,050.00
信用减值损失（损失以“-”号填列）|附注七（71）|-318,882.66|-7,698,261.92
资产减值损失（损失以“-”号填列）|附注七（72）|722,338.22|-4,191,426.20
资产处置收益（损失以“－”号填列）|附注七（73）|233,150.66|214,957.80
三、营业利润（亏损以“－”号填列）||48,036,168.25|86,774,435.79
加：营业外收入|附注七（74）|672,513.19|2,200,679.40
减：营业外支出|附注七（75）|117,861.62|66,263.25
四、利润总额（亏损总额以“－”号填列）||48,590,819.82|88,908,851.94
减：所得税费用|附注七（76）|-3,805,590.07|7,217,657.97
五、净利润（净亏损以“－”号填列）||52,396,409.89|81,691,193.97
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||52,396,409.89|81,691,193.97
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||52,396,409.89|81,691,193.97
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额||624,124.29|-64,119.51
（一）归属母公司所有者的其他综合收益的税后净额||624,124.29|-64,119.51
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||624,124.29|-64,119.51
（1）权益法下可转损益的其他综合收益|||
page|81
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||624,124.29|-64,119.51
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||53,020,534.18|81,627,074.46
（一）归属于母公司所有者的综合收益总额||53,020,534.18|81,627,074.46
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.2462|0.4724
（二）稀释每股收益(元/股)||不适用|不适用
