page|75
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|附注七（1）|491,971,872.07|293,521,912.57
结算备付金|||
拆出资金|||
交易性金融资产|附注七（2）|55,000,000.00|434,000,000.00
衍生金融资产|附注七（3）|1,672,076.74|8,670,150.00
应收票据|附注七（4）|11,621,033.14|6,485,273.66
应收账款|附注七（5）|309,223,919.28|288,654,938.79
应收款项融资|||
预付款项|附注七（7）|142,947.46|633,321.17
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|附注七（8）|2,992,994.92|4,693,727.00
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|附注七（9）|147,400,703.14|130,764,604.03
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|附注七（13）|9,654,119.83|10,890,080.81
流动资产合计||1,029,679,666.58|1,178,314,008.03
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|附注七（15）|133,073,958.29|
长期应收款|||
长期股权投资|附注七（16）|4,000,000.00|
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|附注七（21）|242,879,388.06|210,881,716.46
在建工程|附注七（22）|25,759,296.87|26,523,130.72
生产性生物资产|||
油气资产|||
使用权资产|附注七（25）|10,141,638.76|
无形资产|附注七（26）|9,309,045.76|10,637,104.73
开发支出|||
商誉|||
长期待摊费用|附注七（29）|3,753,645.95|4,965,606.74
page|76
递延所得税资产|附注七（30）|6,542,801.56|1,775,162.40
其他非流动资产|附注七（31）|867,110.24|2,397,970.00
非流动资产合计||436,326,885.49|257,180,691.05
资产总计||1,466,006,552.07|1,435,494,699.08
流动负债：|||
短期借款|附注七(32)|994,629.98|2,278,063.11
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|附注七(35)|3,534,332.19|2,866,422.21
应付账款|附注七(36)|241,865,654.24|244,231,332.12
预收款项|||
合同负债|附注七(38)|107,463.36|62,758.40
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|附注七(39)|24,992,320.32|29,994,788.44
应交税费|附注七(40)|1,870,701.33|2,077,544.57
其他应付款|附注七(41)|33,547,910.50|30,489,073.02
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|附注七(43)|9,543,414.27|2,309,884.60
其他流动负债|附注七(44)|112,849.74|84,843.22
流动负债合计||316,569,275.93|314,394,709.69
非流动负债：|||
保险合同准备金|||
长期借款|附注七(45))|5,305,432.10|7,757,539.54
应付债券|||
其中：优先股|||
永续债|||
租赁负债|附注七(47)|3,308,875.21|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|||
其他非流动负债|||
非流动负债合计||8,614,307.31|7,757,539.54
负债合计||325,183,583.24|322,152,249.23
所有者权益（或股东权益）：|||
实收资本（或股本）|附注七(53)|212,833,460.00|212,833,460.00
其他权益工具|||
其中：优先股|||
page|77
永续债|||
资本公积|附注七(55)|638,953,117.60|638,953,117.60
减：库存股|||
其他综合收益|附注七(57)|891,080.35|266,956.06
专项储备|||
盈余公积|附注七(59)|30,420,483.86|26,597,541.38
一般风险准备|||
未分配利润|附注七(60)|257,724,827.02|234,691,374.81
归属于母公司所有者权益（或股东权益）合计||1,140,822,968.83|1,113,342,449.85
少数股东权益|||
所有者权益（或股东权益）合计||1,140,822,968.83|1,113,342,449.85
负债和所有者权益（或股东权益）总计||1,466,006,552.07|1,435,494,699.08
