page|83
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,179,344,888.35|958,586,231.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||28,810,566.12|22,158,956.11
收到其他与经营活动有关的现金|附注七 78|7,371,277.03|5,587,094.74
经营活动现金流入小计||1,215,526,731.50|986,332,282.37
购买商品、接受劳务支付的现金||850,329,676.74|678,598,088.58
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||276,326,459.64|227,410,803.35
支付的各项税费||7,351,251.01|19,311,166.85
支付其他与经营活动有关的现金|附注七 78|62,629,671.25|67,415,400.23
经营活动现金流出小计||1,196,637,058.63|992,735,459.01
经营活动产生的现金流量净额||18,889,672.86|-6,403,176.64
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||23,977,143.05|6,967,128.48
处置固定资产、无形资产和其他长期资产收回的现金净额||567,561.80|620,292.13
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|附注七 78|1,009,456,896.23|40,744,596.23
投资活动现金流入小计||1,034,001,601.08|48,332,016.84
购建固定资产、无形资产和其他长期资产支付的现金||60,859,088.95|55,811,995.27
投资支付的现金||35,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|附注七 78|725,000,000.00|474,200,500.00
投资活动现金流出小计||820,859,088.95|530,012,495.27
投资活动产生的现金流量净额||213,142,512.13|-481,680,478.43
page|84
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||554,872,850.90
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||6,889,199.37|3,218,402.38
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||6,889,199.37|558,091,253.28
偿还债务支付的现金||2,160,087.97|2,365,882.03
分配股利、利润或偿付利息支付的现金||25,656,978.78|149,678.37
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|附注七 78|7,905,224.65|15,223,998.85
筹资活动现金流出小计||35,722,291.41|17,739,559.25
筹资活动产生的现金流量净额||-28,833,092.03|540,351,694.03
四、汇率变动对现金及现金等价物的影响||-4,690,310.94|-10,917,390.80
五、现金及现金等价物净增加额|附注七（79）|198,508,782.02|41,350,648.16
加：期初现金及现金等价物余额|附注七（79）|293,046,244.92|251,695,596.76
六、期末现金及现金等价物余额|附注七（79）|491,555,026.94|293,046,244.92
