page|99
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||151,581,096.97|114,193,293.11
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七 、 78（1）|1,403,664.52|1,810,165.73
经营活动现金流入小计||152,984,761.49|116,003,458.84
购买商品、接受劳务支付的现金||9,843,819.92|4,728,712.41
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||33,352,065.39|27,552,301.41
支付的各项税费||14,170,563.11|11,859,182.02
支付其他与经营活动有关的现金|七 、 78（2）|31,737,797.86|17,943,920.44
经营活动现金流出小计||89,104,246.28|62,084,116.28
经营活动产生的现金流量净额||63,880,515.21|53,919,342.56
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||4,444,662.44|1,734,404.24
处置固定资产、无形资产和其他长期资产收回的现金净额||41,290.00|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七 、 78（3）|495,570,000.00|283,500,000.00
投资活动现金流入小计||500,055,952.44|285,234,404.24
购建固定资产、无形资产和其他长期资产支付的现金||2,017,517.80|2,184,483.96
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七 、 78（4）|498,570,000.00|283,500,000.00
投资活动现金流出小计||500,587,517.80|285,684,483.96
page|100
投资活动产生的现金流量净额||-531,565.36|-450,079.72
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||519,854,400.00|37,800,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|七 、 78（5）||
筹资活动现金流入小计||519,854,400.00|37,800,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||25,000,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||10,343,000.00|
筹资活动现金流出小计|七 、 78（6）|10,343,000.00|25,000,000.00
筹资活动产生的现金流量净额||509,511,400.00|12,800,000.00
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||572,860,349.85|66,269,262.84
加：期初现金及现金等价物余额||145,628,450.44|79,359,187.60
六、期末现金及现金等价物余额||718,488,800.29|145,628,450.44
