page|254
2021 年度||||
(除特别注明外，金额单位为人民币元)||||
|||本集团|
||附注七|2021 年度|2020 年度
一经营活动产生的现金流量||||
|收取利息、手续费及佣金的现金||31,110,154,459.86|19,277,589,657.29
|回购业务资金净增加额||45,163,453,949.35|30,333,089,161.16
|代理买卖证券收到的现金净额||7,197,714,374.54|20,479,419,930.21
|收到其他与经营活动有关的现金|56(1)|14,572,540,250.59|16,633,964,778.17
|经营活动现金流入小计||98,043,863,034.34|86,724,063,526.83
|为交易目的而持有的金融工具净增加额||92,838,663,757.72|39,357,963,619.18
|融出资金净增加额||1,956,380,284.82|20,979,122,869.05
|拆入资金净减少额||79,983,890.00|6,460,146,488.76
|支付利息、手续费及佣金的现金||5,436,524,442.82|4,590,597,875.55
|支付给职工及为职工支付的现金||7,193,177,630.80|5,395,147,348.62
|支付的各项税费||3,864,325,104.43|2,566,044,187.15
|支付其他与经营活动有关的现金|56(2)|27,492,822,657.26|25,121,562,873.75
|经营活动现金流出小计||138,861,877,767.85|104,470,585,262.06
|经营活动产生的现金流量净额|56(3)|(40,818,014,733.51)|(17,746,521,735.23)
二|投资活动产生的现金流量|||
|收回投资收到的现金||27,885,569,271.70|-
|取得投资收益收到的现金||4,584,510,573.86|3,598,217,089.23
|处置固定资产、无形资产和|||
|其他长期资产收到的现金净额||32,475,940.10|15,128,941.36
|投资活动现金流入小计||32,502,555,785.66|3,613,346,030.59
|投资所支付的现金||-|15,172,537,334.22
|购建固定资产、无形资产和其他长期资|||
|产所支付的现金||461,826,571.47|287,550,717.93
|投资活动现金流出小计||461,826,571.47|15,460,088,052.15
|投资活动产生的现金流量净额||32,040,729,214.19|(11,846,742,021.56)
page|255
2021 年度|||
(除特别注明外，金额单位为人民币元)|||
||本集团|
|附注七|2021 年度|2020 年度
三筹资活动产生的现金流量|||
吸收投资收到的现金||10,117,357,965.36|-
其中：子公司吸收少数股东投资收到|||
的现金||129,541,927.62|-
发行永续债收到的现金||9,987,816,037.74|
取得借款收到的现金||10,973,499,667.72|4,346,430,676.95
发行债券收到的现金||166,893,856,854.05|152,160,264,332.00
筹资活动现金流入小计||187,984,714,487.13|156,506,695,008.95
偿还债务支付的现金||147,610,414,847.89|104,001,430,757.17
分配股利、利润或偿付利息支付的现金||8,350,840,907.78|6,824,831,381.25
其中：子公司支付给少数股东的股|||
利、利润||14,253,531.42|19,195,107.41
支付租赁负债的现金||360,704,385.53|348,356,582.00
支付其他与筹资活动有关的现金||-|31,232,844.35
筹资活动现金流出小计||156,321,960,141.20|111,205,851,564.77
筹资活动产生的现金流量净额||31,662,754,345.93|45,300,843,444.18
四汇率变动对现金及现金等价物的影响||(23,013,719.29)|(99,015,199.78)
五现金及现金等价物净增加额|56(3)(c)|22,862,455,107.32|15,608,564,487.61
加：年初现金及现金等价物余额||123,198,978,108.43|107,590,413,620.82
六年末现金及现金等价物余额|56(4)|146,061,433,215.75|123,198,978,108.43
page|256
|十八|2021 年度|2020 年度
一经营活动产生的现金流量|||
为交易目的而持有的金融工具净减少额||1,160,972,290.54|-
收取利息、手续费及佣金的现金||35,988,263.74|104,080,456.18
收到其他与经营活动有关的现金||47,250,206.91|86,456,506.26
经营活动现金流入小计||1,244,210,761.19|190,536,962.44
为交易目的而持有的金融工具净增加额||-|4,381,204,134.79
回购业务净减少额||-|500,000,000.00
支付利息、手续费及佣金的现金||-|7,758,333.34
支付给职工及为职工支付的现金||117,323,992.51|112,246,278.32
支付的各项税费||52,959,005.73|122,279,895.87
支付其他与经营活动有关的现金||27,659,144.52|24,045,189.70
经营活动现金流出小计||197,942,142.76|5,147,533,832.02
经营活动产生的现金流量净额|8(1)|1,046,268,618.43|(4,956,996,869.58)
二投资活动产生的现金流量|||
收回投资收到的现金||-|847,843,325.97
取得投资收益收到的现金||3,357,014,970.57|2,752,752,695.88
收到其他与投资活动有关的现金||7,606,299,119.47|1,134,587,572.67
投资活动现金流入小计||10,963,314,090.04|4,735,183,594.52
投资所支付的现金||6,156,720,000.00|-
购建固定资产、无形资产和其他长期资|||
产所支付的现金||1,371,490.17|1,959,891.01
支付其他与投资活动有关的现金||3,879,065,493.36|1,780,000,000.00
投资活动现金流出小计||10,037,156,983.53|1,781,959,891.01
投资活动产生的现金流量净额||926,157,106.51|2,953,223,703.51
