page|80
项目|附注七|2021 年度|2020 年度
一、营业总收入|||842,441,991.88  581,336,299.27
其中：营业收入|61||842,441,991.88  581,336,299.27
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||606,418,710.29  419,318,837.68
其中：营业成本|61||515,920,585.85  344,825,927.16
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|6,042,988.51|4,497,464.73
销售费用|63|11,555,225.42|15,866,892.75
管理费用|64|43,183,906.92|27,075,743.17
研发费用|65|29,620,676.48|20,799,839.40
page|81
财务费用|66|95,327.11|6,252,970.47
其中：利息费用||15,699.91|1,651,295.75
利息收入||4,431,419.80|315,226.68
加：其他收益|67|662,573.15|2,986,121.55
投资收益（损失以“－”号填列）|68|25,166,608.31|4,343,272.40
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|69||
公允价值变动收益（损失以“－”号填列）|70|-6,559,734.75|12,267,029.40
信用减值损失（损失以“-”号填列）|71|-1,315,234.72|214,129.08
资产减值损失（损失以“-”号填列）|72|-1,925,688.23|-1,389,045.66
资产处置收益（损失以“－”号填列）|73|-13,097.35|
三、营业利润（亏损以“－”号填列）|||252,038,708.00  180,438,968.36
加：营业外收入|74|4,509,091.04|6,561,692.94
减：营业外支出|75|910,600.55|687,434.29
四、利润总额（亏损总额以“－”号填列）|||255,637,198.49  186,313,227.01
减：所得税费用|76|36,124,556.17|26,769,447.77
五、净利润（净亏损以“－”号填列）|||219,512,642.32  159,543,779.24
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）|||219,512,642.32  159,543,779.24
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）|||219,512,536.97  159,543,779.24
2.少数股东损益（净亏损以“-”号填列）||105.35|
page|82
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额|||219,512,642.32  159,543,779.24
（一）归属于母公司所有者的综合收益总额|||219,512,536.97  159,543,779.24
（二）归属于少数股东的综合收益总额||105.35|
八、每股收益：|||
（一）基本每股收益(元/股)||2.37|2.10
（二）稀释每股收益(元/股)||2.37|2.10
