page|129
项目|附注|2020 年度|2019 年度
一、营业总收入||339,220,790.01|234,546,235.56
其中：营业收入||339,220,790.01|234,546,235.56
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||268,122,436.98|189,952,058.30
其中：营业成本||191,991,784.28|131,053,538.35
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||1,876,002.84|1,653,289.82
销售费用||18,739,567.32|20,320,633.37
管理费用||23,606,547.47|18,311,916.98
研发费用||26,065,609.83|19,312,707.67
财务费用||5,842,925.24|-700,027.89
其中：利息费用||344,200.05|443,224.40
利息收入||242,057.88|724,757.28
加：其他收益||6,141,988.51|13,275,226.86
投资收益（损失以“－”号填列）||4,109,237.40|3,242,472.36
其中：对联营企业和合营企业的投资收益||-675,551.13|-299,217.47
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”|||
page|130
号填列）|||
公允价值变动收益（损失以“－”号填列）||1,570,003.17|-969,094.38
信用减值损失（损失以“-”号填列）||4,085,669.72|-4,786,951.12
资产减值损失（损失以“-”号填列）||-1,220,122.91|-845,897.71
资产处置收益（损失以“－”号填列）||-76,427.93|
三、营业利润（亏损以“－”号填列）||85,708,700.99|54,509,933.27
加：营业外收入||2,378,667.02|1,565,581.61
减：营业外支出||103,472.88|55,100.02
四、利润总额（亏损总额以“－”号填列）||87,983,895.13|56,020,414.86
减：所得税费用||12,869,048.96|7,839,378.84
五、净利润（净亏损以“－”号填列）||75,114,846.17|48,181,036.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||75,114,846.17|48,181,036.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||75,144,418.07|48,181,053.21
2.少数股东损益（净亏损以“-”号填列）||-29,571.90|-17.19
六、其他综合收益的税后净额||-492,685.43|54,102.73
（一）归属母公司所有者的其他综合收益的税后净额||-492,685.43|54,102.73
1．不能重分类进损益的其他综合收益||629,527.91|106,949.68
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||629,527.91|106,949.68
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,122,213.34|-52,846.95
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,122,213.34|-52,846.95
page|131
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||74,622,160.74|48,235,138.75
（一）归属于母公司所有者的综合收益总额||74,651,732.64|48,235,155.94
（二）归属于少数股东的综合收益总额||-29,571.90|-17.19
八、每股收益：|||
（一）基本每股收益(元/股)||1.14|0.73
（二）稀释每股收益(元/股)||1.14|0.73
