page|184
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,144,622,966.91|4,707,998,878.76
收到的税费返还||141,287,523.80|176,705,989.96
收到其他与经营活动有关的现金|五）51|106,420,739.71|121,187,681.18
经营活动现金流入小计||5,392,331,230.42|5,005,892,549.90
购买商品、接受劳务支付的现金||3,680,868,056.02|3,468,135,495.07
支付给职工以及为职工支付的现金||640,644,823.23|618,358,362.26
支付的各项税费||185,922,719.64|250,758,225.80
支付其他与经营活动有关的现金|五）51|482,682,805.98|489,680,579.72
经营活动现金流出小计||4,990,118,404.87|4,826,932,662.85
经营活动产生的现金流量净额||402,212,825.55|178,959,887.05
二、投资活动产生的现金流量：|||
收回投资收到的现金|||1,474,808.60
取得投资收益收到的现金||60,754,581.31|77,847,530.42
处置固定资产、无形资产和其他长期资产收回的现金净额||35,947,873.44|146,732,782.89
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|五）51||10,101,026.60
投资活动现金流入小计||96,702,454.75|236,156,148.51
购建固定资产、无形资产和其他长期资产支付的现金||108,893,062.07|47,737,231.88
投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五）51|20,000,000.00|
投资活动现金流出小计||128,893,062.07|47,737,231.88
投资活动产生的现金流量净额||-32,190,607.32|188,418,916.63
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,550,000,000.00|1,950,000,000.00
收到其他与筹资活动有关的现金|五）51|680,751,512.59|736,059,649.64
筹资活动现金流入小计||2,230,751,512.59|2,686,059,649.64
偿还债务支付的现金||1,854,000,000.00|2,174,179,688.00
分配股利、利润或偿付利息支付的现金||120,592,829.17|115,942,767.07
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|五）51|485,461,874.50|513,828,907.79
筹资活动现金流出小计||2,460,054,703.67|2,803,951,362.86
筹资活动产生的现金流量净额||-229,303,191.08|-117,891,713.22
四、汇率变动对现金及现金等价物的影响||-530,400.05|5,716,948.92
五、现金及现金等价物净增加额||140,188,627.10|255,204,039.38
加：期初现金及现金等价物余额||942,012,721.13|686,808,681.75
六、期末现金及现金等价物余额||1,082,201,348.23|942,012,721.13
