page|182
项             目|附注|本期发生额|上期发生额
一、营业收入|五）37|6,403,114,682.63|8,001,726,234.60
减：营业成本|五）37|5,400,167,096.37|6,724,546,169.36
税金及附加|五）38|42,131,138.34|61,265,583.69
销售费用|五）39|384,220,612.91|405,912,881.56
管理费用|五）40|256,448,200.80|303,491,624.73
研发费用|五）41|230,112,447.45|228,640,359.47
财务费用|五）42|94,387,370.80|70,980,906.82
其中：利息费用||102,522,451.95|115,901,541.07
利息收入||15,600,065.25|13,964,371.14
加：其他收益|五）43|72,646,307.22|15,459,368.23
投资收益（损失以“－”号填列）|五）44|127,650,706.47|121,722,309.86
其中：对联营企业和合营企业的投资收益||127,425,561.87|121,573,669.31
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“－”号填列）|五）45|-93,644,234.20|
资产减值损失（损失以“－”号填列）|五）46|-47,093,949.88|-191,716,169.41
资产处置收益（损失以“－”号填列）|五）47|2,880,805.00|-29,385,415.67
二、营业利润（亏损以“－”号填列）||58,087,450.57|122,968,801.98
加：营业外收入|五）48|14,835,283.62|9,484,765.49
减：营业外支出|五）49|5,913,877.95|34,640,771.82
三、利润总额（亏损总额以“－”号填列）||67,008,856.24|97,812,795.65
减：所得税费用|五）50|5,090,600.15|12,777,497.02
四、净利润（净亏损以“－”号填列）||61,918,256.09|85,035,298.63
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||61,918,256.09|85,035,298.63
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||56,644,111.29|80,473,104.69
2.少数股东损益（净亏损以“－”号填列）||5,274,144.80|4,562,193.94
五、其他综合收益的税后净额||3,185,597.81|-6,871,439.78
（一）归属母公司股东的其他综合收益的税后净额||3,206,288.33|-6,817,127.16
1.不能重分类进损益的其他综合收益||-81,375.03|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-81,375.03|
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||3,287,663.36|-6,817,127.16
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-213,609.46
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||3,287,663.36|-6,603,517.70
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-20,690.52|-54,312.62
六、综合收益总额||65,103,853.90|78,163,858.85
（一）归属于母公司股东的综合收益总额||59,850,399.62|73,655,977.53
（二）归属于少数股东的综合收益总额||5,253,454.28|4,507,881.32
七、每股收益|||
（一）基本每股收益||0.0457|0.0649
（二）稀释每股收益||0.0457|0.0649
