page|139
项目|附注|2019 年度|2018 年度
一、营业总收入||2,583,271,531.26|1,769,901,855.14
手续费及佣金净收入|五、（三十八）|1,578,021,438.84|1,149,030,745.91
其中：经纪业务手续费净收入||287,116,367.67|233,439,176.79
投资银行业务手续费净收入||415,018,164.60|255,431,310.92
资产管理业务手续费净收入||750,577,784.27|582,587,671.54
利息净收入|五、（三十九）|-92,477,781.07|-43,804,070.12
其中：利息收入||565,897,201.56|629,207,470.61
利息支出||658,374,982.63|673,011,540.73
投资收益（损失以“ -”号填列）|五、（四十）|683,411,769.23|627,994,813.31
其中：对联营企业和合营企业的投资收益||137,911,913.21|120,753,299.70
其他收益|五、（四十一）|4,014,925.93|6,386,372.41
公允价值变动收益（损失以“ -”号填列）|五、（四十二）|354,483,081.44|-35,454,975.86
汇兑收益（损失以“ -”号填列）||468,132.72|1,057,544.67
其他业务收入|五、（四十三）|55,281,796.63|64,594,945.58
资产处置收益（损失以“ -”号填列）|五、（四十四）|68,167.54|96,479.24
二、营业总支出||1,895,846,336.04|1,681,802,814.34
税金及附加|五、（四十五）|20,076,537.18|18,048,544.04
业务及管理费|五、（四十六）|1,550,539,298.05|1,454,960,908.02
资产减值损失|五、（四十七）||198,304,932.24
信用减值损失|五、（四十八）|313,927,163.28|
其他资产减值损失|||
其他业务成本|五、（四十三）|11,303,337.53|10,488,430.04
三、营业利润（亏损以“ -”号填列）||687,425,195.22|88,099,040.80
加：营业外收入|五、（四十九）|5,664,126.46|17,697,189.88
减：营业外支出|五、（五十）|493,000.00|1,800,492.38
四、利润总额（亏损总额以“ -”号填列）||692,596,321.68|103,995,738.30
减：所得税费用|五、（五十一）|109,472,834.45|-27,617,889.77
五、净利润（净亏损以“ -”号填列）||583,123,487.23|131,613,628.07
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“ -”号填列）||583,123,487.23|131,613,628.07
2．终止经营净利润（净亏损以“ -”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“ -”号填列）||513,058,068.89|124,354,814.46
2．少数股东损益（净亏损以“ -”号填列）||70,065,418.34|7,258,813.61
六、其他综合收益的税后净额||-212,203.14|-112,633,101.59
归属于母公司所有者的其他综合收益的税后净额|五、（三十四）|-76,560.43|-109,081,351.30
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-76,560.43|-109,081,351.30
1．权益法下可转损益的其他综合收益||-76,560.43|-258,964.58
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||-108,822,386.72
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用损失准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额|||
9．其他|||
归属于少数股东的其他综合收益的税后净额||-135,642.71|-3,551,750.29
七、综合收益总额||582,911,284.09|18,980,526.48
归属于母公司所有者的综合收益总额||512,981,508.46|15,273,463.16
归属于少数股东的综合收益总额||69,929,775.63|3,707,063.32
八、每股收益|||
（一）基本每股收益（元/股）||0.146|0.036
（二）稀释每股收益（元/股）||0.146|0.036
