page|74
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||6,084,624,666.91   5,237,939,248.99
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||131,821,534.69|123,298,912.26
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
|收到其他与经营活动有关的现金  （八十一）|111,036,456.60|96,947,706.20
经营活动现金流入小计|||6,327,482,658.20   5,458,185,867.45
购买商品、接受劳务支付的现金|||4,595,335,866.44   4,218,467,822.38
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||704,913,200.60|632,049,379.40
支付的各项税费||187,991,114.68|202,223,191.45
|支付其他与经营活动有关的现金  （八十一）|164,980,572.44|176,378,672.08
经营活动现金流出小计|||5,653,220,754.16   5,229,119,065.31
经营活动产生的现金流量净额||674,261,904.04|229,066,802.14
二、投资活动产生的现金流量：|||
收回投资收到的现金|||2,888,232,701.27   2,429,245,450.52
取得投资收益收到的现金||269,848,333.77|312,668,531.73
处置固定资产、无形资产和其他长期资产收回的现金净额||1,698,973.71|1,249,597.95
处置子公司及其他营业单位收到|||10,746,379.20
page|75
的现金净额|||
|收到其他与投资活动有关的现金  （八十一）|116,376,487.41|96,223,427.15
投资活动现金流入小计|||3,276,156,496.16   2,850,133,386.55
购建固定资产、无形资产和其他长期资产支付的现金||646,271,672.66|648,378,066.80
投资支付的现金|||3,040,408,950.72   3,403,787,076.32
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
|支付其他与投资活动有关的现金  （八十一）|83,405,174.03|22,239,053.83
投资活动现金流出小计||3,770,085,797.41|4,074,404,196.95
投资活动产生的现金流量净额|||-493,929,301.25  -1,224,270,810.40
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,000,000.00|
其中：子公司吸收少数股东投资收到的现金||3,000,000.00|
取得借款收到的现金|||8,051,937,367.07   6,655,393,753.02
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||8,054,937,367.07   6,655,393,753.02
偿还债务支付的现金|||7,792,287,113.51   5,879,249,939.03
分配股利、利润或偿付利息支付的现金||504,079,283.67|540,776,472.49
其中：子公司支付给少数股东的股利、利润||29,320,000.00|30,568,000.00
|支付其他与筹资活动有关的现金  （八十一）|19,994,185.23|20,225,101.95
筹资活动现金流出小计||8,316,360,582.41|6,440,251,513.47
筹资活动产生的现金流量净额||-261,423,215.34|215,142,239.55
四、汇率变动对现金及现金等价物的影响||-19,935,812.86|-72,166,716.52
五、现金及现金等价物净增加额||-101,026,425.41|-852,228,485.23
加：期初现金及现金等价物余额|||2,119,544,578.19   2,971,773,063.42
六、期末现金及现金等价物余额|||2,018,518,152.78   2,119,544,578.19
