page|88
项目|附注五（三）|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,897,095,665.68|5,003,629,201.21
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|1|765,801,014.48|1,291,442,813.17
经营活动现金流入小计||7,662,896,680.16|6,295,072,014.38
购买商品、接受劳务支付的现金||5,410,314,839.73|4,844,639,244.41
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||327,348,399.10|292,778,278.02
支付的各项税费||1,234,038,550.96|1,681,136,592.78
支付其他与经营活动有关的现金|2|582,928,740.12|326,143,465.68
经营活动现金流出小计||7,554,630,529.91|7,144,697,580.89
经营活动产生的现金流量净额||108,266,150.25|-849,625,566.51
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,278,597,674.49|1,823,190,964.29
取得投资收益收到的现金||396,410,115.97|154,393,311.86
处置固定资产、无形资产和其他长期资产收回的现金净额||4,176,212.60|145,101,145.85
处置子公司及其他营业单位收到的现金净额|||
page|89
收到其他与投资活动有关的现金|3|101,774,109.89|95,630,110.79
投资活动现金流入小计||1,780,958,112.95|2,218,315,532.79
购建固定资产、无形资产和其他长期资产支付的现金||126,649,870.94|28,623,417.09
投资支付的现金||2,384,316,688.10|4,376,423,152.12
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|4|120,591,451.72|108,000,000.00
投资活动现金流出小计||2,631,558,010.76|4,513,046,569.21
投资活动产生的现金流量净额||-850,599,897.81|-2,294,731,036.42
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,099,900,000.00|261,700,000.00
其中：子公司吸收少数股东投资收到的现金||1,099,900,000.00|261,700,000.00
取得借款收到的现金||13,991,638,798.41|13,241,117,660.94
收到其他与筹资活动有关的现金|5|1,188,250,000.00|500,000,000.00
筹资活动现金流入小计||16,279,788,798.41|14,002,817,660.94
偿还债务支付的现金||12,894,401,210.20|12,800,023,397.48
分配股利、利润或偿付利息支付的现金||1,275,977,742.46|1,130,767,888.39
其中：子公司支付给少数股东的股利、利润||4,627,152.41|4,103,587.76
支付其他与筹资活动有关的现金|6|1,320,033,311.78|11,224,168.76
筹资活动现金流出小计||15,490,412,264.44|13,942,015,454.63
筹资活动产生的现金流量净额||789,376,533.97|60,802,206.31
四、汇率变动对现金及现金等价物的影响||-55,821.13|23,053.52
五、现金及现金等价物净增加额|7|46,986,965.28|-3,083,531,343.10
加：期初现金及现金等价物余额|7|2,943,240,308.95|6,026,771,652.05
六、期末现金及现金等价物余额|7|2,990,227,274.23|2,943,240,308.95
