page|85
项目|附注五（二）|2021 年度|2020 年度
一、营业总收入||6,271,921,295.10|3,937,493,040.67
其中：营业收入|1|6,271,921,295.10|3,937,493,040.67
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,269,092,465.96|2,680,024,080.90
其中：营业成本|1|2,515,520,255.50|1,693,554,664.44
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|755,796,216.19|215,920,252.34
销售费用|3|91,264,166.27|76,415,693.12
管理费用|4|419,063,420.71|347,482,252.90
研发费用|||
财务费用|6|487,448,407.29|346,651,218.10
其中：利息费用|6|567,639,200.58|449,920,779.77
利息收入|6|80,569,372.41|103,523,750.36
加：其他收益|7|58,760,624.65|237,954,478.98
投资收益（损失以“－”号填列）|8|488,112,899.83|242,295,194.65
其中：对联营企业和合营企业的投资收益|8|84,729,714.03|39,272,308.80
以摊余成本计量的金融资产终止确认收益|||
page|86
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|10|-114,897,954.80|251,206,575.45
信用减值损失（损失以“-”号填列）|11|3,320,786.02|90,898,679.88
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|13|3,790,857.63|88,444,924.94
三、营业利润（亏损以“－”号填列）||2,441,916,042.47|2,168,268,813.67
加：营业外收入|14|66,209,107.52|74,663,886.06
减：营业外支出|15|43,220,299.52|47,753,407.17
四、利润总额（亏损总额以“－”号填列）||2,464,904,850.47|2,195,179,292.56
减：所得税费用|16|604,636,675.31|567,709,940.01
五、净利润（净亏损以“－”号填列）||1,860,268,175.16|1,627,469,352.55
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,860,268,175.16|1,627,469,352.55
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,535,216,162.03|1,412,668,807.32
2.少数股东损益（净亏损以“-”号填列）||325,052,013.13|214,800,545.23
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,860,268,175.16|1,627,469,352.55
（一）归属于母公司所有者的综合收益总额||1,535,216,162.03|1,412,668,807.32
（二）归属于少数股东的综合收益总额||325,052,013.13|214,800,545.23
八、每股收益：|||
（一）基本每股收益(元/股)||0.61|0.56
（二）稀释每股收益(元/股)||0.61|0.56
