page|120
项目|附注|本年发生额|上年发生额
一、营业总收入||7,756,796,088.56|6,868,697,463.16
利息净收入|五、37|358,033,096.70|424,982,245.13
其中：利息收入||1,852,620,599.67|1,590,222,384.46
利息支出||1,494,587,502.97|1,165,240,139.33
手续费及佣金净收入|五、38|1,996,520,743.67|1,638,208,374.41
其中：经纪业务手续费净收入||1,206,125,536.79|1,034,066,493.03
投资银行业务手续费净收入||574,745,827.71|451,412,788.98
资产管理业务手续费净收入||140,417,719.53|105,651,157.84
投资收益|五、39|2,060,531,580.05|1,903,291,428.68
其中：对联营和合营企业的投资收益||765,004,449.37|476,395,939.13
其他收益|五、40|22,377,399.29|17,979,559.88
公允价值变动收益|五、41|186,183,450.17|63,933,891.74
汇兑损失||-1,446,667.92|-3,756,429.91
其他业务收入|五、42|3,134,596,486.60|2,824,058,393.23
二、营业总支出||5,555,164,824.90|5,036,820,858.92
税金及附加|五、43|40,136,062.24|30,485,887.70
业务及管理费|五、44|2,500,687,728.23|2,154,116,194.39
信用减值损失|五、45|-3,144,635.54|98,113,824.96
其他业务成本|五、46|3,017,485,669.97|2,754,104,951.87
三、营业利润||2,201,631,263.66|1,831,876,604.24
加：营业外收入|五、47|709,793.09|3,357,393.47
减：营业外支出|五、48|34,105,952.93|8,503,375.69
四、利润总额||2,168,235,103.82|1,826,730,622.02
减：所得税费用|五、49|322,630,909.27|296,130,603.12
五、净利润||1,845,604,194.55|1,530,600,018.90
(一)按经营持续性分类|||
1.持续经营净利润||1,845,604,194.55|1,530,600,018.90
(二)按所有权归属分类|||
1.归属于母公司股东的净利润||1,765,610,928.44|1,501,641,468.72
2.少数股东损益||79,993,266.11|28,958,550.18
六、其他综合收益的税后净额||91,257,007.73|-3,979,492.80
归属母公司股东的其他综合收益的税后净额|五、33|91,257,007.73|-3,979,492.80
(一)以后不能重分类进损益的其他综合收益||90,962,154.94|-793,684.63
1.其他权益工具投资公允价值变动||90,962,154.94|-793,684.63
(二)以后将重分类进损益的其他综合收益||294,852.79|-3,185,808.17
1.权益法可结转损益的其他综合收益||-|-927,303.80
2.其他债权投资公允价值变动||554,517.23|-2,079,789.46
3.其他债权投资信用减值准备||-259,664.44|-178,714.91
七、综合收益总额||1,936,861,202.28|1,526,620,526.10
归属于母公司股东的综合收益总额|五、33|1,856,867,936.17|1,497,661,975.92
归属于少数股东的综合收益总额||79,993,266.11|28,958,550.18
八、每股收益：|||
(一)基本每股收益(元/股)|五、50|0.57|0.48
(二)稀释每股收益(元/股)|五、50|0.57|0.48
