page|159
资产|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产|||
货币资金|1|187,997,046|156,887,177
交易性金融资产|2|587,022|3,587,646
应收票据|3|18,242,816|10,305,274
应收款项融资|4|3,683,653|2,654,263
应收账款|5|125,696,204|112,138,537
预付款项|6|24,316,491|24,335,981
其他应收款|7|66,383,081|60,100,338
存货|8|232,358,730|194,891,575
合同资产|9|165,030,475|154,903,081
一年内到期的非流动资产|12、22|16,311,081|18,109,883
其他流动资产|10|20,161,207|17,900,227
流动资产合计||860,767,806|755,813,982
非流动资产|||
发放贷款及垫款|11|2,772,645|2,730,000
长期应收款|12|74,472,408|60,804,614
长期股权投资|13|70,621,039|49,644,634
债权投资||41|41
其他债权投资||1,003,745|-
其他非流动金融资产||2,839,530|1,643,494
其他权益工具投资|14|10,510,397|10,038,609
投资性房地产|15|7,254,240|5,357,757
固定资产|16|56,111,920|50,891,768
在建工程|17|7,552,112|5,614,803
使用权资产|18|5,292,332|5,678,711
无形资产|19|70,372,417|59,871,943
开发支出||28,612|9,436
商誉|20|541,705|118,841
长期待摊费用||499,927|420,477
递延所得税资产|21|6,423,173|5,624,947
其他非流动资产|22|65,728,750|66,975,156
非流动资产合计||382,024,993|325,425,231
资产总计||1,242,792,799|1,081,239,213
page|160
负债和股东权益|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动负债|||
短期借款|23|49,879,073|42,749,266
吸收存款|24|4,815,608|3,820,235
应付票据|25|84,290,956|69,601,977
应付账款|26|349,327,324|325,785,304
预收款项||126,257|128,914
合同负债|27|131,058,617|108,506,589
应付职工薪酬|28|11,973,312|11,880,367
应交税费|29|8,392,379|6,970,004
其他应付款|30|79,595,459|70,116,812
一年内到期的非流动负债|31|28,573,343|34,672,076
其他流动负债|32|21,592,243|14,747,536
流动负债合计||769,624,571|688,979,080
非流动负债|||
长期借款|33|111,018,145|87,936,038
应付债券|34|26,111,854|26,143,894
租赁负债|35|2,677,405|3,160,980
长期应付款|36|13,689,068|8,563,197
长期应付职工薪酬||151,359|233,175
预计负债||590,932|417,208
递延收益|37|3,786,970|2,842,220
递延所得税负债|21|1,378,201|507,813
其他非流动负债||125,204|434,034
非流动负债合计||159,529,138|130,238,559
负债合计||929,153,709|819,217,639
股东权益|||
股本|38|13,579,542|13,579,542
其他权益工具|39|68,258,403|40,189,093
资本公积|40|44,158,849|44,154,726
其他综合收益|41|(1,292,262)|(66,158)
专项储备|42|-|-
盈余公积|43|6,139,569|4,613,506
未分配利润|44|123,453,661|107,488,965
归属于母公司股东权益合计||254,297,762|209,959,674
少数股东权益||59,341,328|52,061,900
股东权益合计||313,639,090|262,021,574
负债和股东权益总计||1,242,792,799|1,081,239,213
page|161
项目|附注五|2020 年度|2019 年度
营业收入|45|910,324,763|830,452,157
减：营业成本|45|825,987,266|750,365,068
税金及附加|46|3,733,320|4,633,550
销售费用|47|5,667,867|5,432,855
管理费用|48|19,038,444|18,151,260
研发费用|49|18,605,952|16,527,801
财务费用|50|3,252,809|3,632,348
其中：利息费用||5,621,495|6,693,276
利息收入||3,684,788|3,982,445
加：其他收益|53|941,516|415,139
投资收益(损失)|54|(929,925)|(420,036)
其中：对联营企业和合营企业的投资收益||1,637,477|2,396,480
以摊余成本计量的金融资产终止确认损失||(2,639,464)|(2,908,505)
公允价值变动收益|55|105,833|656,543
资产减值损失|51|(1,023,339)|(1,893,643)
信用减值损失|52|(2,701,879)|(3,117,515)
资产处置收益||589,278|279,016
营业利润||31,020,589|27,628,779
加：营业外收入|56|1,068,358|974,713
减：营业外支出|57|598,395|576,842
利润总额||31,490,552|28,026,650
减：所得税费用|59|5,781,878|5,402,959
净利润||25,708,674|22,623,691
按经营持续性分类：|||
持续经营净利润||25,708,674|22,623,691
终止经营净利润||-|-
按所有权归属分类：|||
归属于母公司股东的净利润||22,392,983|20,197,378
少数股东损益||3,315,691|2,426,313
其他综合收益(损失)的税后净额|41||
归属于母公司股东的其他综合收益(损失)的税后净额||(1,228,318)|446,984
不能重分类进损益的其他综合收益(损失)|||
重新计量设定受益计划变动额||7,966|13,015
其他权益工具投资公允价值变动||15,905|301,561
将重分类进损益的其他综合收益(损失)|||
权益法下可转损益的其他综合收益(损失)||(197,315)|251,093
其他债权投资公允价值变动||(1,164)|(417)
外币财务报表折算差额||(1,054,850)|(113,186)
其他||1,140|(5,082)
归属于少数股东的其他综合收益(损失)的税后净额||(15,902)|(25,487)
综合收益总额||24,464,454|23,045,188
其中：|||
归属于母公司股东的综合收益总额||21,164,665|20,644,362
归属于少数股东的综合收益总额||3,299,789|2,400,826
每股收益|||
基本每股收益(人民币元/股)|60|1.50|1.40
稀释每股收益(人民币元/股)|60|1.44|1.33
page|162
