page|106
|附注五||
||2019 年|2018 年
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金|||
||505,133,093,831|454,002,937,053
收到的税费返还|||
||906,063,446|919,082,881
收到其他与经营活动有关的现金|||
|68.(1)|15,274,731,643|14,907,265,095
经营活动现金流入小计|||
||521,313,888,920|469,829,285,029
购买商品、接受劳务支付的现金|||
||(419,137,093,439 )|(378,130,702,681)
支付给职工以及为职工支付的现金|||
||(  44,512,564,743 )|(  39,483,741,653)
支付的各项税费|||
||(  18,186,051,963 )|(  18,505,762,300)
支付其他与经营活动有关的现金|||
|68.(2)|(  33,546,918,714)|(  24,611,005,735)
经营活动现金流出小计|||
||(515,382,628,859)|(460,731,212,369)
经营活动产生的现金流量净额|||
|69.(1)|5,931,260,061|9,098,072,660
二、投资活动产生的现金流量|||
收回投资所收到的现金|||
||5,620,113,083|3,501,538,137
取得投资收益收到的现金|||
||2,010,263,408|1,551,832,927
处置固定资产、无形资产和其他|||
长期资产收回的现金净额|||
||1,446,236,134|879,843,297
处置子公司及其他营业单位收到的|||
现金净额|||
||16,505,893|-
收到其他与投资活动有关的现金|||
|68.(3)|10,099,040,625|7,985,367,761
投资活动现金流入小计|||
||19,192,159,143|13,918,582,122
购建固定资产、无形资产和其他|||
长期资产支付的现金|||
||(  63,759,505,208)|(  38,817,590,164)
投资支付的现金|||
||(  15,284,665,952)|(  15,986,995,354)
取得子公司及其他营业单位支付的|||
现金净额|||
||(           1,080,991)|-
支付其他与投资活动有关的现金|||
|68.(4)|(    5,860,597,529)|(    9,426,015,557)
投资活动现金流出小计|||
||(  84,905,849,680)|(  64,230,601,075)
投资活动产生的现金流量净额|||
||(  65,713,690,537)|(  50,312,018,953)
page|107
吸收投资收到的现金|||
||22,111,366,803|3,402,009,276
其中：子公司吸收少数股东投资|||
收到的现金|||
||22,111,366,803|3,402,009,276
发行其他权益工具收到的现金|||
||17,939,022,076|19,218,361,776
取得借款收到的现金|||
||151,568,108,382|131,997,149,255
发行债券和短期融资券收到的现金|||
||21,500,000,000|13,000,000,000
收到其他与筹资活动有关的现金|||
|68.(5)|-|334,400,000
筹资活动现金流入小计|||
||213,118,497,261|167,951,920,307
偿还债务支付的现金|||
||(131,031,125,008)|(109,449,318,072)
分配股利、利润或偿付利息支付|||
的现金|||
||(  22,529,688,702)|(  18,884,937,493)
其中：子公司支付给少数股东的|||
股利、利润|||
||(    1,615,179,255)|(       733,608,758)
赎回其他权益工具支付的现金|||
||(    6,962,500,000)|-
支付其他与筹资活动有关的现金|||
|68.(6)|(    1,671,890,265)|(       986,822,861)
筹资活动现金流出小计|||
||(162,195,203,975)|(129,321,078,426)
筹资活动产生的现金流量净额|||
||50,923,293,286|38,630,841,881
四、汇率变动对现金及现金等价物的影响|||
||257,663,913|799,414,419
五、现金及现金等价物净减少额|||
||(    8,601,473,277)|(    1,783,689,993)
加：年初现金及现金等价物余额|||
||127,413,125,970|129,196,815,963
六、年末现金及现金等价物余额|||
|69.(3)|118,811,652,693|127,413,125,970
