page|67
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|1,243,293,739.30|1,025,867,948.82
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款|5|28,866,470.55|34,292,223.95
应收款项融资|6|186,567,800.00|
预付款项|7|33,955,534.36|5,637,976.39
应收保费|||
应收分保账款|||
应收分保合同准备金|||
page|68
其他应收款|8|7,938,822.46|3,876,084.73
其中：应收利息||5,182,061.57|1,489,672.60
应收股利|||
买入返售金融资产|||
存货|9|1,520,039,204.14|1,344,590,215.71
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|12|22,258,793.36|34,641,384.52
流动资产合计||3,042,920,364.17|2,448,905,834.12
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||5,000.00
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|18||
投资性房地产|19|9,851,957.50|10,147,516.22
固定资产|20|531,102,571.12|521,918,609.75
在建工程|21|81,963,879.57|13,361,008.15
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|25|123,208,470.23|64,851,911.50
开发支出|26||5,545,514.19
商誉|||
长期待摊费用|28|3,272,496.85|4,110,266.33
递延所得税资产|29|145,615,292.26|113,338,453.78
其他非流动资产|30|8,046,433.99|15,795,772.29
非流动资产合计||903,061,101.52|749,074,052.21
资产总计||3,945,981,465.69|3,197,979,886.33
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|34|149,109,712.09|96,018,448.06
应付账款|35|329,039,423.32|306,408,648.59
预收款项|36|370,964,989.60|160,276,345.27
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|37|72,558,571.14|83,366,904.48
page|69
应交税费|38|185,315,269.99|141,115,754.97
其他应付款|39|699,629,313.71|522,569,337.12
其中：应付利息|||
应付股利||131,640,270.40|906,277.80
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|41|3,812,991.51|
其他流动负债|42||237,320.32
流动负债合计||1,810,430,271.36|1,309,992,758.81
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|46|349,021.92|
长期应付职工薪酬|47|17,820,819.00|28,116,913.00
预计负债|||
递延收益|||
递延所得税负债|||
其他非流动负债|50|5,387,819.58|3,037,521.50
非流动负债合计||23,557,660.50|31,154,434.50
负债合计||1,833,987,931.86|1,341,147,193.31
所有者权益（或股东权益）：|||
实收资本（或股本）|51|488,545,698.00|488,545,698.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|53|400,312,331.23|399,506,088.31
减：库存股|54|14,007,502.30|
其他综合收益|||
专项储备|||
盈余公积|57|410,573,087.70|410,573,087.70
一般风险准备|||
未分配利润|58|826,569,919.20|558,207,819.01
归属于母公司所有者权益（或股东权益）合计||2,111,993,533.83|1,856,832,693.02
少数股东权益|||
所有者权益（或股东权益）合计||2,111,993,533.83|1,856,832,693.02
负债和所有者权益（或股东权益）总计||3,945,981,465.69|3,197,979,886.33
