page|81
|合并现金流量表||
编制单位：中国宝安集团股份限公司                                               单位：人民币元|||
项                   目|注释|2021 年度|2020 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||13,001,102,203.40|9,469,433,293.94
客户贷款及垫款净回收额||68,620,703.79|
收取利息、手续费及佣金的现金||55,872,092.13|73,841,598.68
收到的税费返还||200,928,870.67|122,647,966.77
收到其他与经营活动有关的现金|六.68|751,158,373.78|400,043,481.51
经营活动现金流入小计||14,077,682,243.77|10,065,966,340.90
购买商品、接受劳务支付的现金||10,334,151,524.70|4,997,970,804.04
客户贷款及垫款净增加额|||23,631,751.53
支付利息、手续费及佣金的现金||10,027,657.97|13,239,460.59
支付给职工以及为职工支付的现金||1,903,168,543.92|1,472,728,033.43
支付的各项税费||867,972,518.34|1,392,877,785.72
支付其他与经营活动有关的现金|六.68|1,241,634,689.34|1,510,376,335.69
经营活动现金流出小计||14,356,954,934.27|9,410,824,171.00
经营活动产生的现金流量净额||-279,272,690.50|655,142,169.90
二、投资活动产生的现金流量：|||
收回投资收到的现金||11,133,742,604.72|8,663,783,858.49
取得投资收益收到的现金||17,650,632.16|9,540,023.09
处置固定资产、无形资产和其他长期资产收回的现金净额||43,980,319.03|23,260,826.54
处置子公司及其他营业单位收到的现金净额|六.69|1,369,147,532.42|546,676,582.37
收到其他与投资活动有关的现金|六.68|100,053,602.83|105,869,201.44
投资活动现金流入小计||12,664,574,691.16|9,349,130,491.93
购建固定资产、无形资产和其他长期资产支付的现金||2,011,144,821.29|1,032,595,297.06
投资支付的现金||10,430,756,427.07|8,045,231,782.90
取得子公司及其他营业单位支付的现金净额|六.69|164,383,192.34|46,688,723.81
支付其他与投资活动有关的现金|六.68|130,000,000.00|
投资活动现金流出小计||12,736,284,440.70|9,124,515,803.77
投资活动产生的现金流量净额||-71,709,749.54|224,614,688.16
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||257,580,371.55|1,692,173,375.00
其中：子公司吸收少数股东投资收到的现金||257,580,371.55|1,692,173,375.00
取得借款收到的现金||7,982,846,480.39|6,050,204,245.50
收到其他与筹资活动有关的现金|六.68||20,000,000.00
筹资活动现金流入小计||8,240,426,851.94|7,762,377,620.50
偿还债务支付的现金||7,072,975,537.03|6,474,507,562.84
分配股利、利润或偿付利息支付的现金||857,769,153.64|892,218,372.86
其中：子公司支付给少数股东的股利、利润||183,360,451.19|114,427,818.46
支付其他与筹资活动有关的现金|六.68|214,938,153.99|65,433,061.89
筹资活动现金流出小计||8,145,682,844.66|7,432,158,997.59
筹资活动产生的现金流量净额||94,744,007.28|330,218,622.91
四、汇率变动对现金及现金等价物的影响||-25,395,284.85|-54,374,505.26
五、现金及现金等价物净增加额||-281,633,717.61|1,155,600,975.71
加：期初现金及现金等价物余额||6,396,094,937.39|5,240,493,961.68
六、期末现金及现金等价物余额||6,114,461,219.78|6,396,094,937.39
法定代表人：陈政立               主管会计工作负责人：贺德华            会计机构负责人：吴海涛|||
