page|55
项目|附注|2021 年度|2020 年度
一、营业总收入||1,000,092,345.38|847,086,629.33
其中：营业收入||1,000,092,345.38|847,086,629.33
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||944,434,076.07|843,953,599.45
其中：营业成本||795,796,914.98|708,145,120.14
page|56
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||11,493,787.93|11,025,860.58
销售费用||29,474,095.52|23,224,617.22
管理费用||60,384,980.56|59,864,401.84
研发费用||36,097,461.20|27,265,894.23
财务费用||11,186,835.88|14,427,705.44
其中：利息费用||5,529,879.15|9,987,350.73
利息收入||1,463,623.03|1,589,812.27
加：其他收益||8,072,298.48|6,079,714.05
投资收益（损失以“－”号填列）||391,105.57|8,385,790.20
其中：对联营企业和合营企业的投资收益|||-1,182.44
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||4,385,299.00|-9,518,761.96
资产减值损失（损失以“-”号填列）||-11,658,219.65|3,929,903.99
资产处置收益（损失以“－”号填列）||-2,561,054.07|-150,300.37
三、营业利润（亏损以“－”号填列）||54,287,698.64|11,859,375.79
加：营业外收入||226,462.85|1,637,898.08
减：营业外支出||2,875,974.55|937,102.48
四、利润总额（亏损总额以“－”号填列）||51,638,186.94|12,560,171.39
减：所得税费用||1,315,393.47|2,918,029.88
五、净利润（净亏损以“－”号填列）||50,322,793.47|9,642,141.51
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||50,322,793.47|9,642,141.51
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||50,855,184.69|7,909,179.27
2.少数股东损益（净亏损以“-”||-532,391.22|1,732,962.24
page|57
号填列）|||
六、其他综合收益的税后净额||-4,938,000.00|
（一）归属母公司所有者的其他综合收益的税后净额||-4,938,000.00|
1．不能重分类进损益的其他综合收益||-4,938,000.00|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-4,938,000.00|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||45,384,793.47|9,642,141.51
（一）归属于母公司所有者的综合收益总额||45,917,184.69|7,909,179.27
（二）归属于少数股东的综合收益总额||-532,391.22|1,732,962.24
八、每股收益：|||
（一）基本每股收益(元/股)||0.0901|0.0140
（二）稀释每股收益(元/股)||0.0901|0.0140
