page|75
项目|附注|2021 年度|单位：元  币种：人民币2020 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||425,249,841.69|422,943,508.87
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||4,578,762.75|6,476,423.21
收到其他与经营活动有关的现金||30,327,484.67|26,267,627.56
经营活动现金流入小计||460,156,089.11|455,687,559.64
购买商品、接受劳务支付的现金||88,060,380.89|83,974,590.33
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
page|76
支付保单红利的现金|||
支付给职工及为职工支付的现金||127,102,098.14|113,708,747.39
支付的各项税费||42,081,927.16|44,752,388.80
支付其他与经营活动有关的现金||65,922,533.19|54,273,903.89
经营活动现金流出小计||323,166,939.38|296,709,630.41
经营活动产生的现金流量净额||136,989,149.73|158,977,929.23
二、投资活动产生的现金流量：|||
收回投资收到的现金||316,000,000.00|833,000,000.00
取得投资收益收到的现金||2,313,602.11|14,022,467.03
处置固定资产、无形资产和其他长期资产收回的现金净额||5,671,321.00|5,000.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||323,984,923.11|847,027,467.03
购建固定资产、无形资产和其他长期资产支付的现金||161,566,309.57|172,174,012.83
投资支付的现金||316,000,000.00|833,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||477,566,309.57|1,005,174,012.83
投资活动产生的现金流量净额||-153,581,386.46|-158,146,545.80
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||120,000,000.00|456,520,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||120,000,000.00|456,520,000.00
