page|73
项目|附注|2021 年度|单位 : 元  币种 : 人民币2020 年度
一、营业总收入||418,637,154.74|374,243,833.42
其中：营业收入||418,637,154.74|374,243,833.42
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||344,930,281.43|324,628,917.23
其中：营业成本||209,213,792.44|177,406,996.33
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||5,282,339.10|854,207.45
销售费用||53,798,173.56|58,908,477.06
管理费用||76,685,870.31|71,761,274.01
研发费用|||0.00
财务费用||-49,893.98|15,697,962.38
其中：利息费用||10,585,802.89|16,984,660.56
利息收入||10,808,317.01|1,396,077.97
page|74
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||60,374,373.33|61,469,307.92
（一）归属于母公司所有者的综合收益总额||51,240,792.86|51,285,205.65
（二）归属于少数股东的综合收益总额||9,133,580.47|10,184,102.27
八、每股收益：|||
（一）基本每股收益 ( 元 / 股 )||0.28|0.33
（二）稀释每股收益 ( 元 / 股 )||0.28|0.33
