page|102
项目|附注|2020 年 12 月 31日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,485,422,534.92|1,751,124,789.71
结算备付金|||
拆出资金|||
交易性金融资产|七、2|972,385,520.96|1,442,554,839.74
衍生金融资产|||
应收票据|||
应收账款|七、5|224,565,193.91|348,919,471.21
应收款项融资|七、6|119,129,064.57|288,207,295.62
预付款项|七、7|9,763,996.22|10,937,628.60
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|85,614,805.17|76,471,306.95
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|282,536,642.20|257,965,662.16
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|12,808,568.86|10,600,224.92
流动资产合计||4,192,226,326.81|4,186,781,218.91
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|134,108,268.86|136,467,297.07
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|七、20|47,457,073.61|41,735,519.63
固定资产|七、21|662,354,525.30|729,057,192.96
在建工程|七、22|99,174,512.55|33,922,780.61
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|123,511,582.41|104,348,479.47
开发支出|||
商誉|七、28|74,116.51|74,116.51
长期待摊费用|七、29|22,413,064.41|27,186,650.76
page|103
递延所得税资产|七、30|77,587,557.07|72,484,238.29
其他非流动资产|七、31|6,619,215.82|25,878,977.06
非流动资产合计||1,173,299,916.54|1,171,155,252.36
资产总计||5,365,526,243.35|5,357,936,471.27
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|89,000,730.56|104,409,994.29
预收款项|||45,062,939.16
合同负债|七、38|46,931,471.14|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|26,240,611.62|28,432,158.52
应交税费|七、40|32,471,663.39|29,203,256.07
其他应付款|七、41|156,385,112.72|165,336,889.63
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、44|4,058,562.30|
流动负债合计||355,088,151.73|372,445,237.67
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|24,773,508.80|25,130,873.11
递延所得税负债|七、30|3,446,380.25|4,388,709.94
其他非流动负债|||
非流动负债合计||28,219,889.05|29,519,583.05
负债合计||383,308,040.78|401,964,820.72
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|610,479,037.00|436,056,455.00
其他权益工具|||
其中：优先股|||
page|104
永续债|||
资本公积|七、55|1,600,268,034.34|1,776,654,180.19
减：库存股|||
其他综合收益|七、57|-96,567.89|-85,948.90
专项储备|七、58|40,165,072.16|34,147,629.52
盈余公积|七、59|281,386,943.24|229,613,670.05
一般风险准备|||
未分配利润|七、60|2,450,015,683.72|2,476,168,449.18
归属于母公司所有者权益（或股东权益）合计||4,982,218,202.57|4,952,554,435.04
少数股东权益|||3,417,215.51
所有者权益（或股东权益）合计||4,982,218,202.57|4,955,971,650.55
负债和所有者权益（或股东权益）总计||5,365,526,243.35|5,357,936,471.27
