page|105
项目|附注(五)|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||124,430,020,607.24|71,786,252,657.57
收到的其他与经营活动有关的现金|61(1)|4,433,968,969.06|4,753,257,983.02
收到的税费返还||201,729,168.37|-
经营活动现金流入小计||129,065,718,744.67|76,539,510,640.59
购买商品、接受劳务支付的现金||112,356,590,717.10|66,328,481,964.48
支付给职工以及为职工支付的现金||2,186,110,884.36|2,307,952,972.59
支付的各项税费||3,730,988,386.09|4,168,334,672.22
支付的其他与经营活动有关的现金|61(2)|2,299,575,126.92|2,029,913,147.43
经营活动现金流出小计||120,573,265,114.47|74,834,682,756.72
经营活动产生的现金流量净额||8,492,453,630.20|1,704,827,883.87
二、投资活动产生的现金流量：|||
收回投资所收到的现金|61(3)|14,828,067,938.53|4,784,176,788.82
取得投资收益所收到的现金||610,308,701.04|1,632,774,545.59
处置固定资产，无形资产和其他长期资产而收到的现金净额||114,105,741.51|24,417,189.84
收到其他与投资活动有关的现金|61(4)|2,491,976,308.57|3,009,624,827.50
投资活动现金流入小计||18,044,458,689.65|9,450,993,351.75
购买或处置子公司和其他经营单位支付的现金||597,959,999.97|2,069,009,623.30
购建固定资产、无形资产和其他长期资产所支付的现金||7,621,789,128.23|2,718,622,240.73
投资支付的现金|61(5)|16,139,927,989.55|5,095,283,003.45
支付其他与投资活动有关的现金|61(6)|3,089,577,857.70|2,247,181,202.53
投资活动现金流出小计||27,449,254,975.45|12,130,096,070.01
投资活动产生的现金流量净额||(9,404,796,285.80)|(2,679,102,718.26)
三、筹资活动产生的现金流量：|||
取得借款收到的现金||37,658,074,610.27|32,091,740,322.20
收到的其他与筹资活动有关的现金|61(7)|3,715,446,908.04|2,903,278,100.00
筹资活动现金流入小计||41,373,521,518.31|34,995,018,422.20
偿还债务所支付的现金||33,554,165,884.84|31,372,194,483.49
分配股利、利润和偿付利息所支付的现金||2,678,785,191.37|4,203,154,203.48
其中：子公司支付给少数股东的股利||41,759,360.00|-
支付其他与筹资活动有关的现金|61(8)|4,718,269,511.52|9,667,041,045.09
筹资活动现金流出小计||40,951,220,587.73|45,242,389,732.06
筹资活动产生的现金流量净额||422,300,930.58|(10,247,371,309.86)
四、汇率变动对现金及现金等价物的影响额||(453,255,348.58)|373,190,382.07
五、现金及现金等价物净减少额||(943,297,073.60)|(10,848,455,762.18)
加：年初现金及现金等价物余额|62(2)|12,392,247,511.85|23,240,703,274.03
六、年末现金及现金等价物余额|62(2)|11,448,950,438.25|12,392,247,511.85
