page|92
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||972,235,337.28|1,275,188,799.16
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||16,951,448.20|15,667,792.33
收到其他与经营活动有关的现金|(七十七)|59,951,241.74|53,736,176.43
经营活动现金流入小计||1,049,138,027.22|1,344,592,767.92
购买商品、接受劳务支付的现金||212,564,493.41|402,407,677.92
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||308,351,348.75|268,114,419.55
支付的各项税费||113,229,873.55|146,453,337.00
支付其他与经营活动有关的现金|(七十七)|396,343,230.86|401,150,197.44
page|93
经营活动现金流出小计||1,030,488,946.57|1,218,125,631.91
经营活动产生的现金流量净额||18,649,080.65|126,467,136.01
二、投资活动产生的现金流量：|||
收回投资收到的现金|||1,200,000.00
取得投资收益收到的现金||906,842.25|527,250.00
处置固定资产、无形资产和其他长期资产收回的现金净额||228,023.42|373,849.60
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,134,865.67|2,101,099.60
购建固定资产、无形资产和其他长期资产支付的现金||13,176,675.99|15,849,344.41
投资支付的现金||2,844,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||16,020,675.99|15,849,344.41
投资活动产生的现金流量净额||-14,885,810.32|-13,748,244.81
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||460,000,000.00|452,730,302.92
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||460,000,000.00|452,730,302.92
偿还债务支付的现金||485,901,046.25|435,679,338.23
分配股利、利润或偿付利息支付的现金||40,104,391.73|44,268,065.16
其中：子公司支付给少数股东的股利、利润||3,448,878.55|7,174,938.29
支付其他与筹资活动有关的现金|(七十七)|106.19|
筹资活动现金流出小计||526,005,544.17|479,947,403.39
筹资活动产生的现金流量净额||-66,005,544.17|-27,217,100.47
四、汇率变动对现金及现金等价物的影响||1,530,074.74|2,154,264.35
五、现金及现金等价物净增加额||-60,712,199.10|87,656,055.08
加：期初现金及现金等价物余额||357,243,319.10|269,587,264.02
六、期末现金及现金等价物余额||296,531,120.00|357,243,319.10
