page|89
项目|附注五|2019 年度|2018 年度
一、营业总收入|||1,399,901,826.36  1,008,222,677.22
其中：营业收入|(六十)||1,399,901,826.36  1,008,222,677.22
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,339,995,224.55|965,841,607.63
其中：营业成本|(六十)|817,486,191.80|457,715,696.55
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|(六十一)|16,382,345.25|14,030,078.33
销售费用|(六十二)|331,705,226.05|346,915,607.87
管理费用|(六十三)|102,978,816.63|102,474,404.82
研发费用|(六十四)|53,289,577.40|41,385,483.59
财务费用|(六十五)|18,153,067.42|3,320,336.47
其中：利息费用||19,537,712.93|5,931,303.37
利息收入||1,795,088.94|2,729,119.96
加：其他收益|(六十六)|23,154,937.02|22,393,784.25
投资收益（损失以“－”号填列）|(六十七)|-2,293,199.24|-666,410.02
page|90
其中：对联营企业和合营企业的投资收益||-1,991,637.41|17,291.20
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|(六十九)|-917,466.95|
信用减值损失（损失以“-”号填列）|(七十)|-5,885,038.80|
|资产减值损失（损失以“-”号填列）  (七十一)|-19,623,159.84|-1,236,588.72
|资产处置收益（损失以“－”号填列）  (七十二)|235,360.00|163,819.50
三、营业利润（亏损以“－”号填列）||54,578,034.00|63,035,674.60
加：营业外收入|(七十三)|31,515,481.89|3,384,637.15
减：营业外支出|(七十四)|2,018,085.88|1,196,582.27
四、利润总额（亏损总额以“－”号填列）||84,075,430.01|65,223,729.48
减：所得税费用|(七十五)|22,899,927.99|15,672,334.21
五、净利润（净亏损以“－”号填列）||61,175,502.02|49,551,395.27
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||61,175,502.02|49,551,395.27
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||55,511,382.91|42,785,647.32
2.少数股东损益（净亏损以“-”号填列）||5,664,119.11|6,765,747.95
六、其他综合收益的税后净额||2,858,026.29|4,009,147.64
（一）归属母公司所有者的其他综合收益的税后净额||2,849,726.29|4,009,147.64
1．不能重分类进损益的其他综合收益||-119,112.89|-379,000.00
（1）重新计量设定受益计划变动额||249,700.00|-379,000.00
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-368,812.89|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||2,968,839.18|4,388,147.64
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||2,968,839.18|4,388,147.64
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||8,300.00|
page|91
七、综合收益总额||64,033,528.31|53,560,542.91
（一）归属于母公司所有者的综合收益总额||58,361,109.20|46,794,794.96
（二）归属于少数股东的综合收益总额||5,672,419.11|6,765,747.95
八、每股收益：|（七十六）||
（一）基本每股收益(元/股)||0.081|0.062
（二）稀释每股收益(元/股)||0.081|0.062
