page|115
|附注五|2019年|2018年
|||（已重述）
营业收入|40|90,736,582|85,513,150
减：营业成本|40|57,008,377|57,367,578
税金及附加||930,511|637,725
|41||
销售费用||7,868,722|9,084,489
|42||
管理费用||4,772,823|3,651,498
|43||
研发费用||12,547,898|10,905,584
|44||
财务费用||965,955|(39,633)
|45||
其中：利息费用||1,718,187|1,008,404
利息收入||931,929|748,810
加：其他收益||1,695,878|2,081,455
|46||
投资收益||249,445|(25,795)
|47||
其中：对联营企业和合营企业的|||
投资损失||(675,616)|(797,318)
以摊余成本计量的金融资|||
产终止确认损失||(209,387)|(320,281)
公允价值变动损失|48|(213,992)|(861,259)
信用减值损失|49|(2,228,411)|(3,654,881)
资产减值损失|50|(1,281,070)|(2,076,863)
资产处置收益|51|2,688,036|19,483
营业利润/(亏损)||7,552,182|(611,951)
加：营业外收入||183,700|142,651
|52||
减：营业外支出||574,212|6,880,903
|52||
利润/(亏损)总额||7,161,670|(7,350,203)
减：所得税费用|54|1,385,001|(400,863)
page|116
合并利润表（续）|||
2019年度|||人民币千元
|附注五|2019年|2018年
|||（已重述）
其他综合收益的税后净额||49,441|(905,246)
归属于母公司普通股股东的其他综合收益|||
的税后净额|36|46,581|(885,656)
不能重分类进损益的其他综合收益|||
权益法下在被投资单位不能重分类进损益|||
的其他综合收益中享有的份额||-|-
重新计量设定受益计划净资产的变动||(7,599)|(477)
||(7,599)|(477)
将重分类进损益的其他综合收益|||
外币财务报表折算差额||54,180|(885,179)
||54,180|(885,179)
归属于少数股东的其他综合收益的税后净额||2,860|(19,590)
综合收益/(亏损)总额||5,826,110|(7,854,586)
其中：|||
归属于母公司普通股股东的综合收益总额||5,194,458|(7,869,318)
归属于永续票据持有者的综合收益总额||348,600|417,037
归属于少数股东的综合收益总额||283,052|(402,305)
每股收益/(亏损) (元/股)|||
||人民币 1.22 元|人民币(1.67)元
基本每股收益/(亏损)|55||
||人民币 1.22 元|人民币(1.67)元
稀释每股收益 /(亏损)|55||
