page|78
项目|附注五（三）|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,736,885,526.55|4,750,322,226.13
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|1|413,405,346.80|701,594,317.28
经营活动现金流入小计||4,150,290,873.35|5,451,916,543.41
购买商品、接受劳务支付的现金||7,027,704,678.30|3,995,964,190.01
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||289,383,063.11|319,194,776.41
支付的各项税费||1,364,977,314.46|1,777,823,997.06
page|79
支付其他与经营活动有关的现金|2|278,202,737.05|531,533,930.85
经营活动现金流出小计||8,960,267,792.92|6,624,516,894.33
经营活动产生的现金流量净额|7|-4,809,976,919.57|-1,172,600,350.92
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,632,212,465.75|2,178,200,893.14
取得投资收益收到的现金||13,509,886.65|124,295,930.74
处置固定资产、无形资产和其他长期资产收回的现金净额||3,931,933.55|2,040,116.28
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|3|339,922,975.41|656,570,000.00
投资活动现金流入小计||1,989,577,261.36|2,961,106,940.16
购建固定资产、无形资产和其他长期资产支付的现金||16,220,440.39|19,140,636.79
投资支付的现金||3,147,204,230.49|2,387,695,663.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|4||228,031,009.61
投资活动现金流出小计||3,163,424,670.88|2,634,867,309.40
投资活动产生的现金流量净额||-1,173,847,409.52|326,239,630.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||5,125,405,602.40|302,268,000.00
其中：子公司吸收少数股东投资收到的现金||361,760,000.00|277,968,000.00
取得借款收到的现金||10,071,703,891.59|6,220,288,506.37
收到其他与筹资活动有关的现金|5||240,000,000.00
筹资活动现金流入小计||15,197,109,493.99|6,762,556,506.37
偿还债务支付的现金||5,789,101,844.69|2,839,286,438.15
分配股利、利润或偿付利息支付的现金||634,127,252.55|1,756,623,828.34
其中：子公司支付给少数股东的股利、利润||5,353,895.35|17,713,437.13
支付其他与筹资活动有关的现金|6|45,449,068.68|923,709,000.00
筹资活动现金流出小计||6,468,678,165.92|5,519,619,266.49
筹资活动产生的现金流量净额||8,728,431,328.07|1,242,937,239.88
四、汇率变动对现金及现金等价物的影响||52,778.64|-71,609.18
五、现金及现金等价物净增加额|7|2,744,659,777.62|396,504,910.54
加：期初现金及现金等价物余额|7|3,270,542,403.10|2,874,037,492.56
六、期末现金及现金等价物余额|7|6,015,202,180.72|3,270,542,403.10
