page|75
项目|附注五（二）|2019 年度|2018 年度
一、营业总收入|||3,949,773,008.68  4,799,376,284.25
其中：营业收入|1||3,949,773,008.68  4,799,376,284.25
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||2,680,056,059.30  3,204,934,979.12
其中：营业成本|1||1,176,183,820.22  1,722,378,639.70
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|2|775,639,159.65|836,892,684.92
销售费用|3|71,767,025.40|85,469,712.11
管理费用|4|319,923,708.63|316,212,212.86
研发费用|||
财务费用|6|336,542,345.40|243,981,729.53
其中：利息费用|6|382,698,406.41|291,119,835.71
page|76
利息收入|6|46,704,524.04|47,625,858.47
加：其他收益|7|82,076,926.21|80,568,150.48
投资收益（损失以“－”号填列）|8|365,952,422.68|186,833,581.65
其中：对联营企业和合营企业的投资收益|8|46,467,867.22|17,498,255.78
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|10|142,709,554.20|
信用减值损失（损失以“-”号填列）|11|-78,212,909.41|
资产减值损失（损失以“-”号填列）|12||614,365.15
资产处置收益（损失以“－”号填列）|13|3,716,037.03|603,101.72
三、营业利润（亏损以“－”号填列）|||1,785,958,980.09  1,863,060,504.13
加：营业外收入|14|61,993,422.13|45,669,098.00
减：营业外支出|15|43,109,448.60|39,134,397.48
四、利润总额（亏损总额以“－”号填列）|||1,804,842,953.62  1,869,595,204.65
减：所得税费用|16|323,590,131.14|503,650,212.02
五、净利润（净亏损以“－”号填列）|||1,481,252,822.48  1,365,944,992.63
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）|||1,481,252,822.48  1,365,944,992.63
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）|||1,346,796,763.70  1,223,073,955.65
2.少数股东损益（净亏损以“-”号填列）||134,456,058.78|142,871,036.98
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额|||1,481,252,822.48  1,365,944,992.63
（一）归属于母公司所有者的综合收益总额|||1,346,796,763.70  1,223,073,955.65
page|77
（二）归属于少数股东的综合收益总额||134,456,058.78|142,871,036.98
八、每股收益：|||
（一）基本每股收益(元/股)||0.71|0.65
（二）稀释每股收益(元/股)||0.71|0.65
