page|107
项目|附注|2021 年度|2020 年度
一、营业收入|七、61|305,677,208.41|302,084,839.10
减：营业成本|七、61|195,981,504.21|183,721,515.55
税金及附加|七、62|3,376,710.92|3,018,888.66
销售费用|七、63|41,432,131.47|27,239,445.67
管理费用|七、64|20,927,659.40|20,051,372.30
研发费用|七、65|37,618,220.96|24,293,541.30
page|108
财务费用|七、66|-3,226,856.93|-259,613.34
其中：利息费用||1,223,102.75|1,551,230.46
利息收入||4,634,121.17|1,976,212.30
加：其他收益|七、67|11,752,664.95|11,996,386.75
投资收益（损失以“－”号填列）|七、68|1,241,717.00|86,050.86
其中：对联营企业和合营企业的投资收益||-652,139.10|-295,397.82
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、71|-1,998,068.42|-5,686,913.47
资产减值损失（损失以“-”号填列）|七、72|-125,480.82|-107,669.24
资产处置收益（损失以“－”号填列）|七、73|15,746.05|
二、营业利润（亏损以“－”号填列）||20,454,417.14|50,307,543.86
加：营业外收入|七、74|8,535,032.48|2,279,288.62
减：营业外支出|七、75|365,437.55|1,109,945.00
三、利润总额（亏损总额以“－”号填列）||28,624,012.07|51,476,887.48
减：所得税费用|七、76|-579,296.47|5,319,322.70
四、净利润（净亏损以“－”号填列）||29,203,308.54|46,157,564.78
（一）持续经营净利润（净亏损以“－”号填列）||29,203,308.54|46,157,564.78
（二）终止经营净利润（净亏损以“－”号填列）|||
五、其他综合收益的税后净额|||
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益|||
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额|||
page|109
7.其他|||
六、综合收益总额||29,203,308.54|46,157,564.78
七、每股收益：|||
（一）基本每股收益(元/股)||0.17|0.31
（二）稀释每股收益(元/股)||0.17|0.31
