page|65
项目|附注五|2020 年度|2019 年度
一、营业总收入||2,638,771,768.77|3,802,490,001.80
其中：营业收入|（六十三）|2,472,013,085.14|3,636,517,851.44
利息收入|（六十四）|155,086,735.59|159,364,036.28
已赚保费|||
手续费及佣金收入|（六十四）|11,671,948.04|6,608,114.08
二、营业总成本||2,405,676,994.64|3,246,246,637.23
其中：营业成本|（六十三）|1,692,933,887.28|2,347,476,997.97
利息支出|（六十四）|11,407,540.41|16,858,837.70
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十五）|148,055,555.67|259,424,714.06
销售费用|（六十六）|85,955,303.11|114,110,779.15
管理费用|（六十七）|314,070,580.51|389,562,924.96
研发费用|（六十八）|5,202,534.79|6,211,056.12
财务费用|（六十九）|148,051,592.87|112,601,327.27
其中：利息费用||141,319,173.38|139,416,061.54
利息收入||17,262,439.49|21,386,227.73
加：其他收益|（七十）|61,008,628.50|58,769,776.01
|投资收益（损失以“－”号填列）  （七十一）|61,168,931.83|506,286,329.67
其中：对联营企业和合营企业的投资收益||11,567,455.83|-3,593,236.61
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|66
公允价值变动收益（损失以“－”号填列）|（七十三）|414,742,508.52|513,939,930.55
信用减值损失（损失以“-”号填列）|（七十四）|-108,471,532.79|-65,575,716.88
资产减值损失（损失以“-”号填列）|（七十五）|-15,462,340.13|-115,847,267.46
资产处置收益（损失以“－”号填列）|（七十六）|149,044,167.70|-11,855,776.01
三、营业利润（亏损以“－”号填列）||795,125,137.76|1,441,960,640.45
加：营业外收入|（七十七）|4,675,869.66|6,846,766.35
减：营业外支出|（七十八）|2,055,477.14|9,628,696.27
四、利润总额（亏损总额以“－”号填列）||797,745,530.28|1,439,178,710.53
减：所得税费用|（七十九）|227,390,972.57|406,859,777.27
五、净利润（净亏损以“－”号填列）||570,354,557.71|1,032,318,933.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||570,354,557.71|1,032,318,933.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||535,374,903.30|981,224,852.43
2.少数股东损益（净亏损以“-”号填列）||34,979,654.41|51,094,080.83
六、其他综合收益的税后净额||-233,612,081.34|57,380,700.44
（一）归属母公司所有者的其他综合收益的税后净额||-233,612,081.34|57,380,700.44
1．不能重分类进损益的其他综合收益||-224,441,213.12|53,694,070.12
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-224,441,213.12|53,694,070.12
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-9,170,868.22|3,686,630.32
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-9,170,868.22|3,686,630.32
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||336,742,476.37|1,089,699,633.70
（一）归属于母公司所有者的综合收||301,762,821.96|1,038,605,552.87
page|67
益总额|||
（二）归属于少数股东的综合收益总额||34,979,654.41|51,094,080.83
八、每股收益：|||
（一）基本每股收益(元/股)||0.23|0.42
（二）稀释每股收益(元/股)||0.23|0.42
