page|68
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||678,770,771.81|564,330,163.87
客户存款和同业存放款项净增加额||-|-
向中央银行借款净增加额||-|-
向其他金融机构拆入资金净增加额||-|-
收到原保险合同保费取得的现金||-|-
收到再保业务现金净额||-|-
保户储金及投资款净增加额||-|-
收取利息、手续费及佣金的现金||-|-
拆入资金净增加额||-|-
回购业务资金净增加额||-|-
代理买卖证券收到的现金净额||-|-
page|69
收到的税费返还||2,251,836.33|2,416,447.34
收到其他与经营活动有关的现金||7,393,039.66|10,094,288.31
经营活动现金流入小计||688,415,647.80|576,840,899.52
购买商品、接受劳务支付的现金||479,420,932.04|286,467,017.32
客户贷款及垫款净增加额||-|-
存放中央银行和同业款项净增加额||-|-
支付原保险合同赔付款项的现金||-|-
拆出资金净增加额||-|-
支付利息、手续费及佣金的现金||-|-
支付保单红利的现金||-|-
支付给职工及为职工支付的现金||90,944,504.02|90,586,401.95
支付的各项税费||31,144,148.50|34,523,965.84
支付其他与经营活动有关的现金||35,773,966.03|34,563,499.78
经营活动现金流出小计||637,283,550.59|446,140,884.89
经营活动产生的现金流量净额||51,132,097.21|130,700,014.63
二、投资活动产生的现金流量：|||
收回投资收到的现金||-|-
取得投资收益收到的现金||-|-
处置固定资产、无形资产和其他长期资产收回的现金净额||396,650.00|28,914,718.60
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||396,650.00|28,914,718.60
购建固定资产、无形资产和其他长期资产支付的现金||11,050,569.06|13,762,025.81
投资支付的现金||-|30,000,000.00
质押贷款净增加额||-|-
取得子公司及其他营业单位支付的现金净额||149,736,278.85|-
支付其他与投资活动有关的现金||-|548,800.00
投资活动现金流出小计||160,786,847.91|44,310,825.81
投资活动产生的现金流量净额||-160,390,197.91|-15,396,107.21
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||194,813,600.00|167,375,614.98
收到其他与筹资活动有关的现金||32,255,290.84|67,168,469.60
筹资活动现金流入小计||227,068,890.84|234,544,084.58
偿还债务支付的现金||114,563,600.00|257,943,350.08
分配股利、利润或偿付利息支付的现金||7,113,498.21|11,048,543.57
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金||18,523,916.79|52,081,153.17
筹资活动现金流出小计||140,201,015.00|321,073,046.82
筹资活动产生的现金流量净额||86,867,875.84|-86,528,962.24
四、汇率变动对现金及现金等价物的影响||-1,238,142.31|480,582.21
五、现金及现金等价物净增加额||-23,628,367.17|29,255,527.39
加：期初现金及现金等价物余额||134,065,243.72|104,809,716.33
六、期末现金及现金等价物余额||110,436,876.55|134,065,243.72
