page|66
项目|附 注|2020 年度|2019 年度
一、营业总收入||750,499,585.72|631,847,761.16
其中：营业收入||750,499,585.72|631,847,761.16
利息收入||-|-
已赚保费||-|-
手续费及佣金收入||-|-
二、营业总成本||690,089,944.86|617,701,676.66
其中：营业成本||592,726,142.86|515,397,248.20
利息支出||-|-
手续费及佣金支出||-|-
退保金||-|-
赔付支出净额||-|-
提取保险责任准备金净额||-|-
保单红利支出||-|-
分保费用||-|-
税金及附加||5,676,396.89|6,456,272.98
销售费用||13,908,740.60|19,237,297.57
管理费用||47,818,722.82|48,726,859.18
研发费用||26,337,566.74|21,558,077.26
财务费用||3,622,374.95|6,325,921.47
其中：利息费用||3,056,978.98|6,005,537.76
利息收入||903,638.22|851,275.94
加：其他收益||5,886,564.80|5,640,136.79
投资收益（损失以“－”号填列）||-|-548,800.00
其中：对联营企业和合营企业的投资收益||-|-
以摊余成本计量的金融资产终止确认收益||-|-
汇兑收益（损失以“－”号填列）||-|-
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“－”号填列）||97,059.32|-165,550.00
信用减值损失（损失以“-”号填列）||86,282.80|-227,882.00
资产减值损失（损失以“-”号填列）||-1,768,438.94|-1,267,699.56
资产处置收益（损失以“－”号填列）||-68,007.82|-517,493.59
三、营业利润（亏损以“－”号填列）||64,643,101.02|17,058,796.14
加：营业外收入||462,010.02|307,639.76
减：营业外支出||33,628.50|72,899.42
四、利润总额（亏损总额以“－”号填列）||65,071,482.54|17,293,536.48
减：所得税费用||11,229,895.72|2,928,463.65
五、净利润（净亏损以“－”号填列）||53,841,586.82|14,365,072.83
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||53,841,586.82|14,365,072.83
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||53,771,703.59|14,365,072.83
2.少数股东损益（净亏损以“-”号填列）||69,883.23|-
六、其他综合收益的税后净额||-1,446,811.09|789,029.41
page|67
（一）归属母公司所有者的其他综合收益的税后净额||-1,446,811.09|789,029.41
1．不能重分类进损益的其他综合收益||-|-
（1）重新计量设定受益计划变动额||-|-
（2）权益法下不能转损益的其他综合收益||-|-
（3）其他权益工具投资公允价值变动||-|-
（4）企业自身信用风险公允价值变动||-|-
2．将重分类进损益的其他综合收益||-1,446,811.09|789,029.41
（1）权益法下可转损益的其他综合收益||-|-
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||-|-
（6）外币财务报表折算差额||-1,446,811.09|789,029.41
（7）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||-|-
七、综合收益总额||52,394,775.73|15,154,102.24
（一）归属于母公司所有者的综合收益总额||52,324,892.50|15,154,102.24
（二）归属于少数股东的综合收益总额||69,883.23|-
八、每股收益：|||
（一）基本每股收益(元/股)||0.24|0.07
（二）稀释每股收益(元/股)||0.24|0.07
