page|82
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,706,870,372.06|1,473,503,672.61
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||97,905,346.13|83,375,893.53
收到其他与经营活动有关的现金|七、78|21,831,253.11|25,261,191.81
经营活动现金流入小计||1,826,606,971.30|1,582,140,757.95
购买商品、接受劳务支付的现金||1,305,403,044.20|1,113,765,966.96
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||44,493,598.66|40,034,622.50
支付的各项税费||150,987,530.69|151,261,156.64
支付其他与经营活动有关的现金|七、78|72,698,971.63|98,107,364.95
经营活动现金流出小计||1,573,583,145.18|1,403,169,111.05
经营活动产生的现金流量净额||253,023,826.12|178,971,646.90
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,420,000,000.00|30,000,000.00
取得投资收益收到的现金||40,195,341.54|-
处置固定资产、无形资产和其他长期资产收回的现金净额||450,372.88|2,304,770.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,460,645,714.42|32,304,770.00
购建固定资产、无形资产和其他长期资产支付的现金||191,055,834.85|92,748,518.18
投资支付的现金||1,454,000,000.00|1,097,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
page|83
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,645,055,834.85|1,189,748,518.18
投资活动产生的现金流量净额||-184,410,120.43|-1,157,443,748.18
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||1,214,528,301.89
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||62,866,690.00|35,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||62,866,690.00|1,249,528,301.89
偿还债务支付的现金||62,866,690.00|135,000,000.00
分配股利、利润或偿付利息支付的现金||86,453,858.68|15,447,579.95
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|1,688,621.63|11,943,459.51
筹资活动现金流出小计||151,009,170.31|162,391,039.46
筹资活动产生的现金流量净额||-88,142,480.31|1,087,137,262.43
四、汇率变动对现金及现金等价物的影响||-16,132,181.89|4,308,284.61
五、现金及现金等价物净增加额||-35,660,956.51|112,973,445.76
加：期初现金及现金等价物余额|七、79|335,420,907.71|222,447,461.95
六、期末现金及现金等价物余额|七、79|299,759,951.20|335,420,907.71
