page|99
|2019 年 12 月 31 日的合并及银行资产负债表|||
|(除特别注明外，金额单位为人民币千元)|||
||本集团|本银行|
|附注|2019 年 12 月 31 日|2019 年 12 月 31 日|2018 年 12 月 31 日
资产||||
现金及存放中央银行款项|四(1)|85,078,060|85,078,060|83,611,860
存放同业款项|四(2)|43,445,927|43,445,927|34,920,487
拆出资金|四(3)|14,991,270|14,991,270|10,967,753
买入返售金融资产|四(4)|41,219,141|41,219,141|28,492,136
衍生金融资产|四(5)|2,020,008|2,020,008|4,607,228
应收利息|四(6)|不适用|不适用|5,533,057
发放贷款和垫款|四(7)|397,482,469|396,788,396|337,460,118
以公允价值计量且其变动||||
计入当期损益的金融资||||
产|四(8)|不适用|不适用|18,910,050
可供出售金融资产|四(9)|不适用|不适用|153,162,916
持有至到期投资|四(10)|不适用|不适用|126,077,055
应收款项类投资|四(11)|不适用|不适用|110,484,997
金融投资：|四(12)|||
交易性金融资产||74,699,462|75,393,535|不适用
债权投资||268,579,608|268,579,608|不适用
其他债权投资||85,597,329|85,597,329|不适用
其他权益工具投资||128,100|128,100|不适用
长期股权投资|四(13)|1,531,757|2,531,757|1,063,458
固定资产|四(14)|1,322,810|1,322,810|1,417,377
在建工程|四(15)|327,054|327,054|64,603
无形资产|四(16)|1,143,150|1,143,150|1,140,748
递延所得税资产|四(17)|4,754,876|4,754,876|2,651,338
其他资产|四(18)|1,749,086|1,749,086|490,923
资产总计||1,024,070,107|1,025,070,107|921,056,104
page|100
|2019 年 12 月 31 日的合并及银行资产负债表(续)|||
|(除特别注明外，金额单位为人民币千元)|||
||本集团|本银行|
|附注|2019 年 12 月 31 日|2019 年 12 月 31 日|2018 年 12 月 31 日
负债||||
向中央银行借款||72,834,915|72,834,915|46,850,000
同业及其他金融机构||||
存放款项|四(20)|58,198,340|59,198,931|50,272,966
拆入资金|四(21)|27,875,731|27,875,731|45,099,981
卖出回购金融资产款|四(22)|37,592,835|37,592,835|11,051,455
衍生金融负债|四(5)|2,354,122|2,354,122|2,776,679
交易性金融负债||50,122|50,122|-
吸收存款|四(23)|619,976,397|619,976,397|532,782,689
应付职工薪酬|四(24)|2,236,901|2,236,901|1,748,479
应交税费|四(25)|3,187,495|3,187,160|743,487
应付利息|四(26)|不适用|不适用|8,127,375
应付债券|四(27)|131,438,691|131,438,691|155,529,253
预计负债|四(28)|279,357|279,357|23,596
其他负债|四(29)|5,500,604|5,500,604|8,885,561
负债合计||961,525,510|962,525,766|863,891,521
股东权益||||
股本|四(30)|5,130,200|5,130,200|5,130,200
其他权益工具|四(31)|9,979,209|9,979,209|9,979,209
其中：优先股||9,979,209|9,979,209|9,979,209
资本公积|四(32)|8,874,230|8,874,230|8,874,230
其他综合收益|四(33)|1,139,903|1,139,903|820,313
盈余公积|四(34)|4,616,758|4,616,758|3,956,571
一般风险准备|四(35)|12,694,800|12,694,800|11,823,556
未分配利润|四(36)|20,109,497|20,109,241|16,580,504
股东权益合计||62,544,597|62,544,341|57,164,583
负债和股东权益总计||1,024,070,107|1,025,070,107|921,056,104
page|104
|2019 年度合并及银行现金流量表(续)|||
(除特别注明外，金额单位为人民币千元)||||
||本集团||本银行
|附注|2019 年度|2019 年度|2018 年度
二、投资活动产生的现金流量||||
收回投资收到的现金||336,019,396|336,019,396|3,076,571,556
取得投资收益收到的现金||18,771,141|18,771,141|12,789,022
处置固定资产、无形资产和其他长||||
期资产收回的现金净额||1,561|1,561|227
投资活动现金流入小计||354,792,098|354,792,098|3,089,360,805
投资支付的现金||352,458,212|354,152,285|3,059,691,903
购建固定资产、无形资产和其他长||||
期资产支付的现金||527,191|527,191|864,321
投资活动现金流出小计||352,985,403|354,679,476|3,060,556,224
投资活动产生的现金流量净额||1,806,695|112,622|28,804,581
三、筹资活动产生的现金流量净额||||
发行债券收到的现金||153,037,504|153,037,504|128,924,658
筹资活动现金流入小计||153,037,504|153,037,504|128,924,658
偿还债务支付的现金||177,165,623|177,165,623|139,000,000
分配股利或偿付利息支付的现金||8,063,831|8,063,831|3,499,738
筹资活动现金流出小计||185,229,454|185,229,454|142,499,738
筹资活动产生的现金流量净额||(32,191,950)|(32,191,950)|(13,575,080)
四、汇率变动对现金及现金等价物的||||
影响额||84,058|84,058|207,594
五、现金及现金等价物净增加额||14,993,053|14,993,053|28,524,512
加：年初现金及现金等价物余额|四(52)|74,056,425|74,056,425|45,531,913
六、年末现金及现金等价物余额|四(52)|89,049,478|89,049,478|74,056,425
