page|62
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|1,383,595,823.91|1,866,981,528.79
结算备付金|||
拆出资金|||
交易性金融资产|2|400,000,000.00|
衍生金融资产|||
应收票据|||
应收账款|5|65,044,076.25|66,339,299.42
应收款项融资|||
预付款项|7|243,443,504.22|189,104,150.92
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|101,960,545.43|122,871,145.03
其中：应收利息||52,267,961.10|27,498,211.09
应收股利||30,580,650.50|83,111,600.00
买入返售金融资产|||
存货|9|88,459,213.49|94,534,027.72
合同资产|10|8,081,207.66|8,698,289.95
持有待售资产|||
一年内到期的非流动资产|12|640,700.22|726,189.85
其他流动资产|13|39,959,953.66|35,694,622.03
流动资产合计||2,331,185,024.84|2,384,949,253.71
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|16|1,935,492.04|2,509,783.95
长期股权投资|17|470,030,204.58|384,962,252.75
其他权益工具投资|18|20,295,776.62|20,295,776.62
其他非流动金融资产|||
page|63
投资性房地产|20|33,541,549.33|33,064,860.80
固定资产|21|2,740,677,435.16|2,815,303,415.44
在建工程|22|482,533,523.89|449,066,231.80
生产性生物资产|||
油气资产|||
使用权资产|25|1,218,361.76|
无形资产|26|469,699,898.02|456,148,366.35
开发支出|||
商誉|28|66,603,043.61|66,603,043.61
长期待摊费用|29|10,996,931.35|12,883,945.13
递延所得税资产|30|5,850,845.83|8,852,454.23
其他非流动资产|31|-|15,274,807.25
非流动资产合计||4,303,383,062.19|4,264,964,937.93
资产总计||6,634,568,087.03|6,649,914,191.64
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|35|14,332,264.01|15,854,591.68
应付账款|36|1,060,306,737.95|1,217,759,727.54
预收款项|||
合同负债|38|888,432,883.96|774,505,767.92
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|180,184,257.29|181,077,331.71
应交税费|40|13,146,344.81|14,242,534.58
其他应付款|41|235,165,710.81|236,636,870.12
其中：应付利息||1,196,883.19|1,013,661.46
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|43|2,340,524.80|227,601,591.69
其他流动负债|||
流动负债合计||2,393,908,723.63|2,667,678,415.24
非流动负债：|||
保险合同准备金|||
长期借款|45|5,643,937.52|8,875,065.46
应付债券|||
其中：优先股|||
永续债|||
租赁负债|47|1,195,760.19|
长期应付款|48|58,397,160.00|58,397,160.00
长期应付职工薪酬|||
page|64
预计负债|||
递延收益|51|105,884,719.99|117,680,098.19
递延所得税负债|30|66,138,381.72|58,138,818.41
其他非流动负债|||
非流动负债合计||237,259,959.42|243,091,142.06
负债合计||2,631,168,683.05|2,910,769,557.30
所有者权益（或股东权益）：|||
实收资本（或股本）|53|888,890,000.00|888,890,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|55|1,327,920,340.88|1,327,920,340.88
减：库存股|||
其他综合收益|||
专项储备|58|13,022,150.25|10,630,666.85
盈余公积|59|266,671,591.11|205,351,344.49
一般风险准备|||
未分配利润|60|1,414,543,902.32|1,207,091,559.47
归属于母公司所有者权益（或股东权益）合计||3,911,047,984.56|3,639,883,911.69
少数股东权益||92,351,419.42|99,260,722.65
所有者权益（或股东权益）合计||4,003,399,403.98|3,739,144,634.34
负债和所有者权益（或股东权益）总计||6,634,568,087.03|6,649,914,191.64
