page|66
项目|附注七|2021 年度|2020 年度
一、营业总收入|61|4,381,483,011.00|4,167,991,295.15
其中：营业收入||4,381,483,011.00|4,167,991,295.15
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|61|3,926,478,351.78|3,807,106,735.27
其中：营业成本||3,527,871,532.76|3,425,461,006.99
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|22,366,508.98|21,054,548.36
销售费用|63|255,850,744.58|247,446,590.17
管理费用|64|161,381,727.72|155,860,063.43
研发费用|65|21,359,091.78|13,609,360.35
财务费用|66|-62,351,254.04|-56,324,834.03
page|67
其中：利息费用||1,669,967.66|950,158.48
利息收入||63,608,625.40|57,776,744.53
加：其他收益|67|16,141,697.29|23,132,370.17
投资收益（损失以“－”号填列）|68|92,314,141.80|92,340,630.19
其中：对联营企业和合营企业的投资收益||89,371,641.80|70,666,046.08
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-4,459,736.56|-3,352,699.49
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|73|-978,288.41|-143,642.34
三、营业利润（亏损以“－”号填列）||558,022,473.34|472,861,218.41
加：营业外收入|74|22,095,330.06|22,069,011.40
减：营业外支出|75|79,810.41|292,920.77
四、利润总额（亏损总额以“－”号填列）||580,037,992.99|494,637,309.04
减：所得税费用|76|76,951,319.95|60,389,065.37
五、净利润（净亏损以“－”号填列）||503,086,673.04|434,248,243.67
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||503,086,673.04|434,248,243.67
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||488,772,864.47|414,112,317.82
2.少数股东损益（净亏损以“-”号填列）||14,313,808.57|20,135,925.85
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|68
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||503,086,673.04|434,248,243.67
（一）归属于母公司所有者的综合收益总额||488,772,864.47|414,112,317.82
（二）归属于少数股东的综合收益总额||14,313,808.57|20,135,925.85
八、每股收益：|||
（一）基本每股收益(元/股)||0.55|0.47
（二）稀释每股收益(元/股)||0.55|0.47
