page|63
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额||-2,450,000,000.00|2,450,000,000.00
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||638,256,149.31|2,767,134,538.34
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（八十七）|3,559,562,465.88|544,414,068.89
经营活动现金流入小计||1,747,818,615.19|5,761,548,607.23
购买商品、接受劳务支付的现金|||18,062,578.47
客户贷款及垫款净增加额||-56,913,702.18|4,648,392,933.52
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||231,655,575.52|736,562,012.45
支付保单红利的现金|||
支付给职工及为职工支付的现金||261,172,789.16|376,497,145.42
支付的各项税费||195,077,274.62|1,610,676,043.51
支付其他与经营活动有关的现金|（八十七）|413,517,887.69|905,406,244.89
经营活动现金流出小计||1,044,509,824.81|8,295,596,958.26
经营活动产生的现金流量净额||703,308,790.38|-2,534,048,351.03
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,386,569,161.09|29,865,741,717.48
取得投资收益收到的现金||52,252,636.20|90,129,357.99
page|64
处置固定资产、无形资产和其他长期资产收回的现金净额||94,773.87|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||2,438,916,571.16|29,955,871,075.47
购建固定资产、无形资产和其他长期资产支付的现金||10,708,284.41|18,693,604.12
投资支付的现金||3,611,427,007.13|29,537,792,513.61
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||3,622,135,291.54|29,556,486,117.73
投资活动产生的现金流量净额||-1,183,218,720.38|399,384,957.74
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||60,240,000.00|2,649,051,109.72
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||60,240,000.00|2,649,051,109.72
偿还债务支付的现金|||560,000,000.00
分配股利、利润或偿付利息支付的现金|||2,323,827,029.34
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计|||2,883,827,029.34
筹资活动产生的现金流量净额||60,240,000.00|-234,775,919.62
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-419,669,930.00|-2,369,439,312.91
加：期初现金及现金等价物余额||616,311,632.60|2,985,750,945.51
六、期末现金及现金等价物余额||196,641,702.60|616,311,632.60
