page|128
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||3,041,844,597.38|2,755,013,413.81
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||10,995,680.53|4,547,031.45
收到其他与经营活动有关的现金|五（五十）|455,339,971.20|837,624,971.92
经营活动现金流入小计||3,508,180,249.11|3,597,185,417.18
购买商品、接受劳务支付的现金||1,154,049,033.49|871,089,035.76
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||588,361,320.68|544,177,008.96
支付的各项税费||291,578,719.16|332,521,486.68
支付其他与经营活动有关的现金|五（五十）|546,124,103.27|601,974,625.48
经营活动现金流出小计||2,580,113,176.60|2,349,762,156.88
经营活动产生的现金流量净额||928,067,072.51|1,247,423,260.30
二、投资活动产生的现金流量|||
收回投资收到的现金||892,202,319.73|552,480,112.26
取得投资收益收到的现金||79,500,194.80|58,430,292.07
处置固定资产、无形资产和其他长期资产收回的现金净额||104,243,108.23|1,635,911.97
处置子公司及其他营业单位收到的现金净额|||111,988,375.25
收到其他与投资活动有关的现金|五（五十）|187,074,990.89|43,539,092.42
投资活动现金流入小计||1,263,020,613.65|768,073,783.97
购建固定资产、无形资产和其他长期资产支付的现金||651,286,792.88|537,442,658.38
投资支付的现金||500,000,000.00|526,602,808.64
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五（五十）|56,296,415.09|91,752,000.77
投资活动现金流出小计||1,207,583,207.97|1,155,797,467.79
投资活动产生的现金流量净额||55,437,405.68|-387,723,683.82
三、筹资活动产生的现金流量|||
吸收投资收到的现金||3,000,000.00|46,000,000.00
其中：子公司吸收少数股东投资收到的现金||3,000,000.00|46,000,000.00
取得借款收到的现金||5,773,125,000.00|6,806,187,000.00
收到其他与筹资活动有关的现金|五（五十）|2,940,000.00|200,000,000.00
筹资活动现金流入小计||5,779,065,000.00|7,052,187,000.00
偿还债务支付的现金||5,550,657,592.00|7,174,192,592.00
分配股利、利润或偿付利息支付的现金||364,467,146.04|462,448,715.60
其中：子公司支付给少数股东的股利、利润||61,379,085.83|55,910,331.79
支付其他与筹资活动有关的现金|五（五十）|427,121,936.08|237,602,916.67
筹资活动现金流出小计||6,342,246,674.12|7,874,244,224.27
筹资活动产生的现金流量净额||-563,181,674.12|-822,057,224.27
四、汇率变动对现金及现金等价物的影响||14,863.55|-83,114.37
五、现金及现金等价物净增加额||420,337,667.62|37,559,237.84
加：期初现金及现金等价物余额||1,860,317,522.24|1,822,758,284.40
六、期末现金及现金等价物余额||2,280,655,189.86|1,860,317,522.24
