page|126
项目|附注|本期金额|上期金额
一、营业总收入||2,852,962,645.08|2,302,055,708.59
其中：营业收入|五（三十六）|2,852,962,645.08|2,302,055,708.59
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,597,504,145.32|2,303,541,160.11
其中：营业成本|五（三十六）|1,821,594,660.03|1,448,779,690.77
利息支出|||
手续费及佣金支出|||
税金及附加|五（三十七）|26,361,461.34|52,125,898.83
销售费用|五（三十八）|111,614,118.69|139,040,856.83
管理费用|五（三十九）|397,965,148.69|383,428,054.21
研发费用|五（四十）|9,434,160.36|7,200,731.46
财务费用|五（四十一）|230,534,596.21|272,965,928.01
其中：利息费用||281,740,282.95|315,929,524.49
利息收入||57,003,371.81|46,100,478.99
加：其他收益|五（四十二）|71,381,273.72|155,264,564.49
投资收益（损失以“-”号填列）|五（四十三）|303,096,733.16|160,838,379.14
其中：对联营企业和合营企业的投资收益||60,055,330.36|47,988,251.08
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|五（四十四）|-253,762.32|
资产减值损失（损失以“-”号填列）|五（四十五）|-5,070,916.80|-49,175,514.38
资产处置收益（损失以“-”号填列）|五（四十六）|-1,938,121.73|2,942,735.37
三、营业利润（亏损以“-”号填列）||622,673,705.79|268,384,713.10
加：营业外收入|五（四十七）|7,451,700.36|7,735,654.59
减：营业外支出|五（四十八）|14,341,972.97|37,559,114.76
四、利润总额（亏损总额以“-”号填列）||615,783,433.18|238,561,252.93
减：所得税费用|五（四十九）|208,924,762.70|138,335,337.62
五、净利润（净亏损以“-”号填列）||406,858,670.48|100,225,915.31
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||406,858,670.48|100,225,915.31
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||310,169,369.16|42,767,102.22
2．少数股东损益（净亏损以“-”号填列）||96,689,301.32|57,458,813.09
六、其他综合收益的税后净额||42,024.48|83,305.52
归属于母公司所有者的其他综合收益的税后净额||42,024.48|83,305.52
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||42,024.48|83,305.52
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．可供出售金融资产公允价值变动损益|||
4．金融资产重分类计入其他综合收益的金额|||
5．持有至到期投资重分类为可供出售金融资产损益|||
6．其他债权投资信用减值准备|||
7．现金流量套期储备（现金流量套期损益的有效部分）|||
8．外币财务报表折算差额||42,024.48|83,305.52
9．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||406,900,694.96|100,309,220.83
归属于母公司所有者的综合收益总额||310,211,393.64|42,850,407.74
归属于少数股东的综合收益总额||96,689,301.32|57,458,813.09
八、每股收益：|||
（一）基本每股收益（元/股）||0.1828|0.0252
（二）稀释每股收益（元/股）||0.1828|0.0252
