page|52
项目|附注|2020 年度|2019 年度
一、营业总收入||175,185,778.30|135,872,200.00
其中：营业收入||175,185,778.30|135,872,200.00
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||131,867,990.21|130,310,819.00
其中：营业成本||98,932,486.43|84,790,992.37
利息支出|||
手续费及佣金支出||6,234.18|8,484.34
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||672,811.49|537,993.21
销售费用||5,972,173.79|13,882,507.82
管理费用||17,967,776.12|28,052,700.98
研发费用|||
财务费用||8,316,508.20|3,038,140.28
其中：利息费用||7,681,176.58|7,697,046.51
利息收入||3,352,055.61|2,409,201.68
加：其他收益||612,194.00|1,590,503.00
投资收益（损失以“－”号填列）||-38,225.97|20,660,303.15
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-190,248.20|3,554,807.35
信用减值损失（损失以“-”号填列）||3,646,887.79|-97,572,062.16
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|||300,868.65
三、营业利润（亏损以“－”号填列）||47,348,395.71|-65,904,199.01
加：营业外收入||5,465,032.10|508,514.43
减：营业外支出||50,499.37|2,216,659.02
四、利润总额（亏损总额以“－”号填列）||52,762,928.44|-67,612,343.60
减：所得税费用||6,637,996.32|25,316,871.31
五、净利润（净亏损以“－”号填列）||46,124,932.12|-92,929,214.91
page|53
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||46,042,881.20|-94,991,280.70
2.终止经营净利润（净亏损以“－”号填列）||82,050.92|2,062,065.79
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||46,135,093.58|-92,929,216.43
2.少数股东损益（净亏损以“-”号填列）||-10,161.46|1.52
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||46,124,932.12|-92,929,214.91
（一）归属于母公司所有者的综合收益总额||46,135,093.58|-92,929,216.43
（二）归属于少数股东的综合收益总额||-10,161.46|1.52
八、每股收益：|||
（一）基本每股收益(元/股)||0.28|-0.56
（二）稀释每股收益(元/股)||0.28|-0.56
