page|69
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,394,493,135.70|994,018,317.90
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,459,882.10|8,699,539.81
收到其他与经营活动有关的现金||20,414,019.33|15,469,717.20
经营活动现金流入小计||1,417,367,037.13|1,018,187,574.91
page|70
购买商品、接受劳务支付的现金||810,744,619.38|701,069,264.21
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||213,074,329.54|85,416,650.59
支付的各项税费||82,518,948.25|44,018,609.27
支付其他与经营活动有关的现金||101,633,233.56|76,854,006.29
经营活动现金流出小计||1,207,971,130.73|907,358,530.36
经营活动产生的现金流量净额||209,395,906.40|110,829,044.55
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,876,055,625.00|897,933,547.29
取得投资收益收到的现金||5,623,675.31|1,836,711.30
处置固定资产、无形资产和其他长期资产收回的现金净额||347,681.56|16,002.31
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,882,026,981.87|899,786,260.90
购建固定资产、无形资产和其他长期资产支付的现金||60,688,470.88|60,131,004.42
投资支付的现金||1,767,330,000.00|836,689,172.29
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||37,794,444.42|357,170,718.23
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,865,812,915.30|1,253,990,894.94
投资活动产生的现金流量净额||16,214,066.57|-354,204,634.04
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||800,000.00|15,658,360.00
其中：子公司吸收少数股东投资收到的现金||800,000.00|
取得借款收到的现金||200,000,000.00|278,277,286.70
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||200,800,000.00|293,935,646.70
偿还债务支付的现金||102,682,305.80|10,000,000.00
分配股利、利润或偿付利息支付的现金||27,327,106.63|14,537,899.27
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||150,000,000.00|
筹资活动现金流出小计||280,009,412.43|24,537,899.27
筹资活动产生的现金流量净额||-79,209,412.43|269,397,747.43
四、汇率变动对现金及现金等价物的影响||1,741,154.66|-943,956.26
五、现金及现金等价物净增加额||148,141,715.20|25,078,201.68
加：期初现金及现金等价物余额||181,997,222.02|156,919,020.34
六、期末现金及现金等价物余额||330,138,937.22|181,997,222.02
