page|76
项目|附 注|2021 年度|2020 年度
一、营业总收入||368,357,958.40|839,418,265.85
其中：营业收入||368,357,958.40|839,418,265.85
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||717,908,787.23|919,943,901.39
其中：营业成本||280,706,204.88|595,297,773.03
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||8,976,775.19|8,428,837.72
销售费用||158,875,157.76|123,181,321.64
管理费用||165,783,713.80|105,721,908.44
研发费用||37,034,082.14|34,208,594.22
财务费用||66,532,853.46|53,105,466.34
其中：利息费用||64,736,086.86|51,753,981.56
利息收入||1,305,003.61|1,788,852.11
加：其他收益||4,816,648.09|11,180,025.17
投资收益（损失以“－”号填列）||-67,854,032.77|102,216,034.81
其中：对联营企业和合营企业的投资收益||-51,654,488.29|44,485,397.35
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-296,051,339.99|14,495,347.81
资产减值损失（损失以“-”号填列）||-104,678,538.64|-12,091,107.00
资产处置收益（损失以“－”号填列）||-10,410,147.89|42,772.19
三、营业利润（亏损以“－”号填列）||-823,728,240.03|35,317,437.44
加：营业外收入||1,448,854.35|6,837,719.22
减：营业外支出||13,361,851.40|983,152.18
四、利润总额（亏损总额以“－”号填列）||-835,641,237.08|41,172,004.48
减：所得税费用||-3,250,792.09|8,821,139.36
五、净利润（净亏损以“－”号填列）||-832,390,444.99|32,350,865.12
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-832,390,444.99|32,350,865.12
2.终止经营净利润（净亏损以“－”号填列）|||
page|77
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-835,907,420.59|34,070,446.55
2.少数股东损益（净亏损以“-”号填列）||3,516,975.60|-1,719,581.43
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-832,390,444.99|32,350,865.12
（一）归属于母公司所有者的综合收益总额||-835,907,420.59|34,070,446.55
（二）归属于少数股东的综合收益总额||3,516,975.60|-1,719,581.43
八、每股收益：|||
（一）基本每股收益(元/股)||-1.10|0.04
（二）稀释每股收益(元/股)||-1.10|0.04
