page|109
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||238,549,828.61|184,250,437.18
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
page|110
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||15,043,079.97|1,815,673.43
收到其他与经营活动有关的现金|五（四十七）|22,838,243.36|28,246,550.25
经营活动现金流入小计||276,431,151.94|214,312,660.86
购买商品、接受劳务支付的现金||33,749,948.02|40,848,332.45
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||44,020,223.66|32,798,031.68
支付的各项税费||35,543,280.98|17,863,029.71
支付其他与经营活动有关的现金|五（四十七）|33,353,098.15|37,928,089.65
经营活动现金流出小计||146,666,550.81|129,437,483.49
经营活动产生的现金流量净额||129,764,601.13|84,875,177.37
二、投资活动产生的现金流量：|||
收回投资收到的现金||35,200,000.00|
取得投资收益收到的现金||532,639.48|14,222,914.17
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|五（四十七）||377,100,000.00
投资活动现金流入小计||35,732,639.48|391,322,914.17
购建固定资产、无形资产和其他长期资产支付的现金||61,224,362.03|56,401,757.73
投资支付的现金||204,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五（四十七）||478,200,000.00
投资活动现金流出小计||265,224,362.03|534,601,757.73
page|111
投资活动产生的现金流量净额||-229,491,722.55|-143,278,843.56
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||508,330,010.19|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||47,600,000.00|8,230,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||555,930,010.19|8,230,000.00
偿还债务支付的现金||34,570,000.00|2,600,000.00
分配股利、利润或偿付利息支付的现金||1,238,752.67|1,398,002.67
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|五（四十七）|29,907,857.70|
筹资活动现金流出小计||65,716,610.37|3,998,002.67
筹资活动产生的现金流量净额||490,213,399.82|4,231,997.33
四、汇率变动对现金及现金等价物的影响||2,845.42|-134,822.33
五、现金及现金等价物净增加额||390,489,123.82|-54,306,491.19
加：期初现金及现金等价物余额||20,817,197.02|75,123,688.21
六、期末现金及现金等价物余额||411,306,320.84|20,817,197.02
