page|113
项目 附注 2021 年 12 月 31 日 2020 年 12 月 31 日|||
流动资产：|||
货币资金|七、1|787,976,295.90|225,346,962.86
结算备付金|||
拆出资金|||
交易性金融资产|七、2|953,866,190.28|906,665,272.67
衍生金融资产|||
应收票据|||
应收账款|七、5|178,354,650.60|183,717,809.91
应收款项融资|||
预付款项|七、7|41,562,918.63|44,577,805.82
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|87,155,637.68|90,666,195.93
其中：应收利息|||
应收股利||24,519,897.04|21,591,443.84
买入返售金融资产|||
存货|七、9|1,275,413,355.14|944,188,707.94
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|122,594,451.94|115,507,336.35
流动资产合计||3,446,923,500.17|2,510,670,091.48
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|33,427,922.81|33,002,132.63
其他权益工具投资|七、18|226,800,000.00|226,600,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|683,437,750.74|728,176,186.63
在建工程|七、22|152,833,022.92|107,703,503.58
生产性生物资产|||
油气资产|||
使用权资产|七、25|230,357,268.97|
无形资产|七、26|110,945,035.26|112,252,779.78
开发支出|||
商誉|||
长期待摊费用|七、29|98,244,990.86|107,027,060.78
递延所得税资产|七、30|111,677,946.97|108,094,080.88
其他非流动资产|七、31|6,311,772.97|5,139,331.27
非流动资产合计||1,654,035,711.50|1,427,995,075.55
资产总计||5,100,959,211.67|3,938,665,167.03
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|147,801,520.50|89,694,227.22
预收款项|||
page|114
合同负债|七、38|74,697,663.30|91,765,541.22
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|120,075,547.97|153,548,346.19
应交税费|七、40|14,123,768.48|21,881,411.78
其他应付款|七、41|114,886,930.18|98,160,560.70
其中：应付利息|||
应付股利||11,123,774.71|11,123,774.71
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|141,426,464.27|
其他流动负债|七、44|14,117,300.53|12,880,805.58
流动负债合计||627,129,195.23|467,930,892.69
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|79,825,534.50|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|8,492,916.67|9,037,916.67
递延所得税负债|七、30|6,338,519.53|7,383,739.57
其他非流动负债|||
非流动负债合计||94,656,970.70|16,421,656.24
负债合计||721,786,165.93|484,352,548.93
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|400,010,000.00|360,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|2,364,756,125.38|1,643,517,535.43
减：库存股|||
其他综合收益|七、57|-4,564,721.10|-2,617,575.10
专项储备|||
盈余公积|七、59|205,895,492.91|171,600,855.62
一般风险准备|||
未分配利润|七、60|1,405,054,764.55|1,274,582,433.25
归属于母公司所有者权益（或股东权益）合计||4,371,151,661.74|3,447,083,249.20
少数股东权益||8,021,384.00|7,229,368.90
所有者权益（或股东权益）合计||4,379,173,045.74|3,454,312,618.10
负债和所有者权益（或股东权益）总计||5,100,959,211.67|3,938,665,167.03
