page|73
项            目|附注|2020 年度|2019 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,269,470,493.81|4,864,320,978.75
收到的税费返还||118,303,250.38|71,254,169.55
收到其他与经营活动有关的现金|六、55|96,938,793.93|116,825,590.77
经营活动现金流入小计||5,484,712,538.12|5,052,400,739.07
购买商品、接受劳务支付的现金||3,184,470,403.73|2,803,995,448.07
支付给职工以及为职工支付的现金||770,976,274.87|757,237,393.44
支付的各项税费||236,558,393.32|258,502,966.41
支付其他与经营活动有关的现金|六、55|872,520,657.85|884,393,524.98
经营活动现金流出小计||5,064,525,729.77|4,704,129,332.90
经营活动产生的现金流量净额||420,186,808.35|348,271,406.17
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||8,589,048.00|7,514,057.09
处置固定资产、无形资产和其他长期资产收回的现金净额||3,594,041.01|2,825,003.59
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||12,183,089.01|10,339,060.68
购建固定资产、无形资产和其他长期资产支付的现金||280,188,013.54|366,512,169.12
投资支付的现金||30,000,000.00|56,766,721.32
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||310,188,013.54|423,278,890.44
投资活动产生的现金流量净额||-298,004,924.53|-412,939,829.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||52,004,800.00|
其中：子公司吸收少数股东投资收到的现金||33,000,000.00|
取得借款所收到的现金||426,569,000.00|1,233,791,374.23
收到其他与筹资活动有关的现金|六、55|618,000,000.00|50,000,000.00
筹资活动现金流入小计||1,096,573,800.00|1,283,791,374.23
偿还债务所支付的现金||729,655,801.87|1,103,000,000.00
分配股利、利润或偿付利息所支付的现金||143,287,406.86|117,838,280.89
其中：子公司支付给少数股东的股利、利润||16,438,740.24|1,442,862.04
支付其他与筹资活动有关的现金|六、55|188,594,318.00|109,184,510.10
筹资活动现金流出小计||1,061,537,526.73|1,330,022,790.99
筹资活动产生的现金流量净额||35,036,273.27|-46,231,416.76
四、汇率变动对现金及现金等价物的影响||-12,279,523.90|1,281,291.16
五、现金及现金等价物净增加额||144,938,633.19|-109,618,549.19
加：期初现金及现金等价物余额||577,624,593.37|687,243,142.56
六、期末现金及现金等价物余额||722,563,226.56|577,624,593.37
