page|68
项目|附注（六）|2019 年度|2018 年度
一、营业总收入||144,023,626,070.75|157,170,235,004.69
其中：营业收入|60|144,023,626,070.75|157,170,235,004.69
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||138,886,788,865.94|151,468,417,416.14
其中：营业成本|60|123,195,390,493.44|135,483,827,848.90
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|61|492,930,363.29|566,501,033.05
销售费用|62|1,960,547,689.89|2,238,485,250.07
管理费用|63|8,030,770,156.65|8,160,981,469.43
研发费用|64|5,264,534,986.01|5,133,395,084.66
财务费用|65|-57,384,823.34|-114,773,269.97
其中：利息费用||428,659,341.62|455,236,481.73
利息收入||589,674,529.72|574,424,514.90
page|69
加：其他收益|66|482,085,431.02|531,041,063.25
投资收益（损失以“－”号填列）|67|3,809,097,899.43|5,064,901,154.39
其中：对联营企业和合营企业的投资收益||3,363,036,867.74|4,018,478,423.36
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|70|-230,073,848.80|
资产减值损失（损失以“-”号填列）|71|-176,816,846.03|-257,008,629.67
资产处置收益（损失以“－”号填列）|72|135,568,150.71|-74,914,702.05
三、营业利润（亏损以“－”号填列）||9,156,697,991.14|10,965,836,474.47
加：营业外收入|73|416,322,468.40|657,942,318.87
减：营业外支出|74|138,174,843.84|101,480,537.77
四、利润总额（亏损总额以“－”号填列）||9,434,845,615.70|11,522,298,255.57
减：所得税费用|75|918,551,163.81|1,076,788,562.08
五、净利润（净亏损以“－”号填列）||8,516,294,451.89|10,445,509,693.49
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||8,516,294,451.89|10,445,509,693.49
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||6,463,163,298.95|8,027,176,945.72
2.少数股东损益（净亏损以“-”号填列）||2,053,131,152.94|2,418,332,747.77
六、其他综合收益的税后净额||1,048,670,798.95|-604,007,779.35
（一）归属母公司所有者的其他综合收益的税后净额|56|1,048,416,230.79|-628,634,742.35
1．不能重分类进损益的其他综合收益||1,047,460,771.27|8,337,805.48
（1）重新计量设定受益计划变动额|||7,458,814.75
（2）权益法下不能转损益的其他综合收益||-25,556,280.54|878,990.73
（3）其他权益工具投资公允价值变动||1,073,017,051.81|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||955,459.52|-636,972,547.83
（1）权益法下可转损益的其他综合||3,508,303.32|-9,016,386.80
page|70
收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-684,936,072.58
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-2,552,843.80|56,979,911.55
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|56|254,568.16|24,626,963.00
七、综合收益总额||9,564,965,250.84|9,841,501,914.14
（一）归属于母公司所有者的综合收益总额||7,511,579,529.74|7,398,542,203.37
（二）归属于少数股东的综合收益总额||2,053,385,721.10|2,442,959,710.77
八、每股收益：|||
（一）基本每股收益(元/股)|76|2.050|2.546
（二）稀释每股收益(元/股)|76|不适用|不适用
