page|72
项目|附注（六）|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||146,294,871,904.26|186,592,919,451.09
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||1,721,709,366.56|1,085,477,542.84
经营活动现金流入小计||148,016,581,270.82|187,678,396,993.93
购买商品、接受劳务支付的现金||107,132,543,141.56|149,463,818,913.67
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||15,907,986,770.33|16,599,349,729.62
支付的各项税费||5,099,382,704.68|5,577,754,866.38
支付其他与经营活动有关的现金||10,220,321,302.08|6,661,335,043.08
经营活动现金流出小计||138,360,233,918.65|178,302,258,552.75
经营活动产生的现金流量净额|78(1)|9,656,347,352.17|9,376,138,441.18
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,000,868,462.88|1,355,279,330.05
取得投资收益收到的现金||2,972,284,020.26|2,891,486,701.52
处置固定资产、无形资产和其他长期资产收回的现金净额||582,298,225.47|62,892,894.58
处置子公司及其他营业单位收到的现金净额|附注(七)4|140,208,755.54|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||4,695,659,464.15|4,309,658,926.15
购建固定资产、无形资产和其他长期资产支付的现金||5,706,306,810.54|7,525,203,122.07
投资支付的现金||589,884,689.27|2,182,248,877.49
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|附注(七)1|37,504,484.22|1,420,714,065.06
支付其他与投资活动有关的现金|||
投资活动现金流出小计||6,333,695,984.03|11,128,166,064.62
投资活动产生的现金流量净额||-1,638,036,519.88|-6,818,507,138.47
page|73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||89,131,500.00|99,800,000.00
其中：子公司吸收少数股东投资收到的现金||89,131,500.00|99,800,000.00
取得借款收到的现金||6,269,912,368.01|9,148,220,069.02
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||6,359,043,868.01|9,248,020,069.02
偿还债务支付的现金||6,001,720,556.36|8,156,987,505.76
分配股利、利润或偿付利息支付的现金||5,518,010,391.24|5,726,490,898.18
其中：子公司支付给少数股东的股利、利润||1,768,628,107.12|2,113,698,671.06
支付其他与筹资活动有关的现金|77(6)|474,867,280.46|383,804,242.48
筹资活动现金流出小计||11,994,598,228.06|14,267,282,646.42
筹资活动产生的现金流量净额||-5,635,554,360.05|-5,019,262,577.40
四、汇率变动对现金及现金等价物的影响||-5,488,698.36|23,322,019.56
五、现金及现金等价物净增加额|78(4)|2,377,267,773.88|-2,438,309,255.13
加：期初现金及现金等价物余额|78(4)|29,782,644,935.43|32,220,954,190.56
六、期末现金及现金等价物余额|78(4)|32,159,912,709.31|29,782,644,935.43
