page|7
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|泰晶科技股份有限公司
公司的中文简称|泰晶科技
公司的外文名称|TKD Science and Technology Co.,Ltd.
公司的外文名称缩写|TKD
公司的法定代表人|喻信东
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名|黄晓辉 朱柳艳
联系地址|随州市曾都经济开发区 随州市曾都经济开发区
电话|0722-3308115 0722-3308115
传真|0722-3308115 0722-3308115
电子信箱|sxr@sztkd.com zly@sztkd.com
三、 基本情况简介|
公司注册地址|湖北省随州市曾都经济开发区
公司注册地址的邮政编码|441300
公司办公地址|湖北省随州市曾都经济开发区
公司办公地址的邮政编码|441300
公司网址|www.sztkd.com
电子信箱|sxr@sztkd.com
四、  信息披露及备置地点|
公司选定的信息披露媒体名称|中国证券报、上海证券报、证券时报、证券日报
登载年度报告的中国证监会指定网站的网址  www.sse.com.cn|
公司年度报告备置地点|湖北省随州市曾都经济开发区
