page|78
项目|附注七|2019 年度|2018 年度
一、营业总收入||6,739,129,855.23|5,870,471,517.37
其中：营业收入|（六十一）|6,739,129,855.23|5,870,471,517.37
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||5,963,014,303.16|5,394,027,709.51
其中：营业成本|（六十一）|4,776,789,579.46|4,154,626,611.65
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|36,179,185.74|37,159,082.77
销售费用|（六十三）|502,686,957.40|473,364,591.33
管理费用|（六十四）|318,169,656.68|404,922,445.70
研发费用|（六十五）|306,733,177.16|267,998,551.18
财务费用|（六十六）|22,455,746.72|55,956,426.88
其中：利息费用||31,704,491.48|49,908,038.96
利息收入||18,659,911.56|23,011,503.66
加：其他收益|（六十七）|59,717,778.61|39,739,970.21
投资收益（损失以“－”号填列）|（六十八）|569,989,633.31|154,284,879.34
其中：对联营企业和合营企业的投资收益|（六十九）|255,747,532.15|40,789,909.47
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”|||
page|79
号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|-102,608,319.49|-2,002,863.79
信用减值损失（损失以“-”号填列）|（七十一）|-50,116,391.03|
资产减值损失（损失以“-”号填列）|（七十二）|-8,431,296.23|-27,949,591.47
资产处置收益（损失以“－”号填列）|（七十三）|3,738,571.27|144,047.72
三、营业利润（亏损以“－”号填列）||1,248,405,528.51|640,660,249.87
加：营业外收入|（七十四）|15,618,269.12|13,648,799.20
减：营业外支出|（七十五）|21,878,186.42|22,734,632.03
四、利润总额（亏损总额以“－”号填列）||1,242,145,611.21|631,574,417.04
减：所得税费用|（七十六）|195,329,278.52|122,279,242.48
五、净利润（净亏损以“－”号填列）||1,046,816,332.69|509,295,174.56
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,046,816,332.69|509,295,174.56
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,036,046,778.37|508,079,684.01
2.少数股东损益（净亏损以“-”号填列）||10,769,554.32|1,215,490.55
六、其他综合收益的税后净额||11,629,852.17|-15,953,208.49
（一）归属母公司所有者的其他综合收益的税后净额||10,733,535.44|-13,172,938.50
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他|||
page|80
综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||10,733,535.44|-13,172,938.50
（1）权益法下可转损益的其他综合收益||16,937,089.04|5,687,539.10
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-42,707,736.37
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-6,203,553.60|23,847,258.77
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||896,316.73|-2,780,269.99
七、综合收益总额||1,058,446,184.86|493,341,966.07
（一）归属于母公司所有者的综合收益总额||1,046,780,313.81|494,906,745.51
（二）归属于少数股东的综合收益总额||11,665,871.05|-1,564,779.44
八、每股收益：|||
（一）基本每股收益(元/股)||0.75|0.36
（二）稀释每股收益(元/股)||0.75|0.36
