page|83
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||5,947,502,272.25  5,441,753,254.99
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||416,568,593.38|443,583,779.05
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||100,231,087.29|50,923,995.74
收到其他与经营活动有关的现金|（七十八）|310,700,621.79|521,833,165.68
经营活动现金流入小计|||6,775,002,574.71  6,458,094,195.46
购买商品、接受劳务支付|||3,480,429,839.54  3,434,645,842.01
page|84
的现金|||
客户贷款及垫款净增加额||39,280,000.00|188,000,000.00
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||989,894,852.40|831,728,644.95
支付的各项税费||403,050,885.04|468,045,432.88
支付其他与经营活动有关的现金|（七十八）||937,748,878.56  1,090,709,771.78
经营活动现金流出小计|||5,850,404,455.54  6,013,129,691.62
经营活动产生的现金流量净额||924,598,119.17|444,964,503.84
二、投资活动产生的现金流量：|||
收回投资收到的现金|||2,869,350,809.96  2,182,205,646.14
取得投资收益收到的现金||43,851,862.37|34,013,863.91
处置固定资产、无形资产和其他长期资产收回的现金净额||7,915,631.94|3,824,160.72
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计|||2,921,118,304.27  2,220,043,670.77
购建固定资产、无形资产和其他长期资产支付的现金||184,014,977.36|316,510,299.60
投资支付的现金|||1,443,833,276.85  2,762,977,653.22
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||32,000,000.00
支付其他与投资活动有关的现金|||
投资活动现金流出小计|||1,627,848,254.21  3,111,487,952.82
投资活动产生的现金流量净额||1,293,270,050.06|-891,444,282.05
三、筹资活动产生的现金流量：|||
page|85
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||3,730,885,665.68  4,616,739,482.65
收到其他与筹资活动有关的现金|（七十八）||754,948,396.11  3,640,647,438.57
筹资活动现金流入小计|||4,485,834,061.79  8,257,386,921.22
偿还债务支付的现金|||4,114,074,082.63  4,536,575,804.50
分配股利、利润或偿付利息支付的现金||660,968,755.05|685,491,666.12
其中：子公司支付给少数股东的股利、利润||5,512,500.00|5,816,300.00
支付其他与筹资活动有关的现金|（七十八）||1,877,773,973.61  2,163,146,125.00
筹资活动现金流出小计|||6,652,816,811.29  7,385,213,595.62
筹资活动产生的现金流量净额||-2,166,982,749.50|872,173,325.60
四、汇率变动对现金及现金等价物的影响||-6,780,070.80|-6,946,054.70
五、现金及现金等价物净增加额||44,105,348.93|418,747,492.69
加：期初现金及现金等价物余额|||1,657,353,660.30  1,238,606,167.61
六、期末现金及现金等价物余额|||1,701,459,009.23  1,657,353,660.30
