page|126
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||36,127,830,250.84|39,237,120,806.16
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||585,201,819.45|827,046,075.62
收到其他与经营活动有关的现金|七、78|138,449,872.07|390,507,675.44
经营活动现金流入小计||36,851,481,942.36|40,454,674,557.22
购买商品、接受劳务支付的现金||28,629,540,991.69|24,465,783,191.20
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||3,928,595,993.23|3,802,296,453.35
支付的各项税费||1,248,559,542.91|1,125,286,845.65
支付其他与经营活动有关的现金|七、78|2,280,422,705.54|2,380,326,502.27
经营活动现金流出小计||36,087,119,233.37|31,773,692,992.47
经营活动产生的现金流量净额||764,362,708.99|8,680,981,564.75
page|127
二、投资活动产生的现金流量：|||
收回投资收到的现金||932,021,275.37|1,443,686,897.29
取得投资收益收到的现金||848,465,085.45|463,980,721.82
处置固定资产、无形资产和其他长期资产收回的现金净额||882,133,209.64|1,420,591,218.72
处置子公司及其他营业单位收到的现金净额|||209,111,375.02
收到其他与投资活动有关的现金|七、78|716,495,716.99|604,969,628.69
投资活动现金流入小计||3,379,115,287.45|4,142,339,841.54
购建固定资产、无形资产和其他长期资产支付的现金||2,014,032,036.53|1,761,307,399.30
投资支付的现金||244,059,193.53|1,673,249,010.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|538,687,584.39|610,098,264.00
投资活动现金流出小计||2,796,778,814.45|4,044,654,673.30
投资活动产生的现金流量净额||582,336,473.00|97,685,168.24
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||34,326,082.94|
其中：子公司吸收少数股东投资收到的现金||34,326,082.94|
取得借款收到的现金||3,586,367,876.41|11,695,278,122.53
收到其他与筹资活动有关的现金|七、78|96,026,466.23|12,622,500.00
筹资活动现金流入小计||3,716,720,425.58|11,707,900,622.53
偿还债务支付的现金||3,686,458,737.42|18,046,958,716.99
分配股利、利润或偿付利息支付的现金||248,198,659.09|484,323,345.16
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|19,053,370.56|39,749,293.19
筹资活动现金流出小计||3,953,710,767.07|18,571,031,355.34
筹资活动产生的现金流量净额||-236,990,341.49|-6,863,130,732.81
四、汇率变动对现金及现金等价物的影响||-22,350,492.63|-80,846,176.57
五、现金及现金等价物净增加额||1,087,358,347.87|1,834,689,823.61
加：期初现金及现金等价物余额||3,977,990,722.43|2,143,300,898.82
六、期末现金及现金等价物余额||5,065,349,070.30|3,977,990,722.43
