page|67
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,440,480,756.64|4,595,259,680.33
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||175,884,944.64|
收到其他与经营活动有关的现金|（七十九）|358,671,103.53|544,923,205.61
经营活动现金流入小计||4,975,036,804.81|5,140,182,885.94
购买商品、接受劳务支付的现金||2,152,316,925.60|2,452,794,059.75
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,064,902,714.48|2,230,428,393.07
支付的各项税费||55,239,992.77|699,764,665.85
支付其他与经营活动有关的现金|（七十九）|391,645,092.11|974,855,081.08
经营活动现金流出小计||4,664,104,724.96|6,357,842,199.75
经营活动产生的现金流量净额||310,932,079.85|-1,217,659,313.81
二、投资活动产生的现金流量：|||
收回投资收到的现金||196,496,403.89|303,870,195.59
取得投资收益收到的现金||529,718,985.94|1,298,975,303.29
处置固定资产、无形资产和其他长期资产收回的现金净额||153,862.88|142,629.51
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||726,369,252.71|1,602,988,128.39
购建固定资产、无形资产和其他长期资||1,502,893,618.78|1,325,364,267.37
page|68
产支付的现金|||
投资支付的现金||81,900,000.00|61,900,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,584,793,618.78|1,387,264,267.37
投资活动产生的现金流量净额||-858,424,366.07|215,723,861.02
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||16,000,000,000.00|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||16,000,000,000.00|
偿还债务支付的现金||12,000,000,000.00|
分配股利、利润或偿付利息支付的现金||315,130,480.56|1,702,073,732.15
其中：子公司支付给少数股东的股利、利润||230,654,407.17|199,946,518.10
支付其他与筹资活动有关的现金|（七十九）|852,117,525.00|
筹资活动现金流出小计||13,167,248,005.56|1,702,073,732.15
筹资活动产生的现金流量净额||2,832,751,994.44|-1,702,073,732.15
四、汇率变动对现金及现金等价物的影响||-30,596.13|-110,526.12
五、现金及现金等价物净增加额||2,285,229,112.09|-2,704,119,711.06
加：期初现金及现金等价物余额||7,655,677,973.68|10,359,797,684.74
六、期末现金及现金等价物余额||9,940,907,085.77|7,655,677,973.68
