page|105
项目|附注|本年年末余额|上年年末余额|项目|附注|本年年末余额|上年年末余额
流动资产：||||流动负债：|||
货币资金|(五)1|54,197,404,320.33|45,141,951,893.47|短期借款|(五)20|2,794,623,744.18|3,295,602,588.13
交易性金融资产|(五)2|-|19,470,000.00|交易性金融负债||-|-
衍生金融资产||-|-|衍生金融负债||-|-
应收票据||35,976,179.57|2,269,201.17|应付票据|(五)21|-|110,763,147.41
应收账款|(五)3|433,786,326.34|285,705,660.54|应付账款|(五)22|29,806,861,177.48|19,664,962,863.93
应收款项融资||-|-|预收款项|(五)23|186,540,606.69|83,970,601,052.08
预付款项|(五)4|1,581,634,905.45|556,171,473.86|合同负债|(五)24|94,492,623,888.96|
其他应收款|(五)5|67,024,782,116.53|77,741,623,626.56|应付职工薪酬|(五)25|3,804,902,504.55|3,025,301,452.05
存货|(五)6|187,607,922,452.67|139,782,666,831.08|应交税费|(五)26|2,933,072,269.95|3,617,443,412.53
合同资产||-||其他应付款|(五)27|47,209,987,078.31|41,835,498,290.89
持有待售资产||-|-|持有待售负债||-|-
一年内到期的非流动资产|(五)7|1,960,544,149.33|20,819,605.31|一年内到期的非流动负债|(五)28|39,484,274,364.60|32,810,070,768.27
其他流动资产|(五)8|9,731,102,770.02|7,272,544,491.28|其他流动负债|(五)29|8,281,908,840.87|-
流动资产合计||322,573,153,220.24|270,823,222,783.27|流动负债合计||228,994,794,475.59|188,330,243,575.29
非流动资产：||||非流动负债：|||
发放贷款及垫款|(五)9|1,328,234,517.46|1,506,322,300.24|长期借款|(五)30|41,570,268,157.54|27,594,617,781.61
债权投资||-|-|应付债券|(五)31|24,876,053,011.87|28,994,069,028.08
其他债权投资||-|-|其中：优先股||-|-
长期应收款||714,566.63|-|永续债||-|-
长期股权投资|(五)10|45,834,014,301.49|35,954,583,844.33|租赁负债|(五)32|1,542,730,393.96|
其他权益工具投资|(五)11|65,611,755.73|66,337,921.31|长期应付款||-|-
其他非流动金融资产|(五)12|1,012,954,597.86|966,883,610.13|长期应付职工薪酬||-|-
投资性房地产|(五)13|20,684,689,503.72|20,356,402,530.95|预计负债|(五)33|80,000,000.00|-
固定资产|(五)14|1,706,140,936.36|1,248,700,944.70|递延收益||-|6,285,714.27
在建工程||-|-|递延所得税负债|(五)18|4,919,925,181.38|4,399,309,496.38
生产性生物资产||-|-|其他非流动负债|(五)34|5,608,006,364.12|3,122,000,000.00
油气资产||-|-|非流动负债合计||78,596,983,108.87|64,116,282,020.34
使用权资产|(五)15|1,483,590,601.23||负债合计||307,591,777,584.46|252,446,525,595.63
无形资产|(五)16|23,391,865.45|31,619,766.88|股东权益：|||
开发支出||-|-|股本|(五)35|4,514,583,572.00|4,514,583,572.00
商誉||-|-|其他权益工具|(五)36|57,528,580.81|80,219,591.99
长期待摊费用|(五)17|454,492,079.09|385,126,348.63|其中：优先股||-|-
递延所得税资产|(五)18|4,159,352,115.00|3,476,765,072.75|永续债||-|-
其他非流动资产|(五)19|2,303,245,000.00|-|资本公积|(五)37|2,736,397,946.36|3,711,705,310.24
非流动资产合计||79,056,431,840.02|63,992,742,339.92|减：库存股||-|-
||||其他综合收益|(五)38|238,623,315.60|296,176,967.20
||||专项储备||-|-
||||盈余公积|(五)39|2,438,452,948.86|2,438,452,948.86
||||一般风险准备||-|-
||||未分配利润|(五)40|47,492,539,684.88|43,052,947,749.11
||||归属于母公司股东权益合计||57,478,126,048.51|54,094,086,139.40
||||少数股东权益||36,559,681,427.29|28,275,353,388.16
||||股东权益合计||94,037,807,475.80|82,369,439,527.56
资产总计||401,629,585,060.26|334,815,965,123.19|负债和股东权益总计||401,629,585,060.26|334,815,965,123.19
