page|165
编制单位：广州白云山医药集团股份有限公司|||单位：人民币元|
|项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||||
货币资金||附注五、（一）|18,469,618,237.41|16,114,883,673.51
交易性金融资产||||
衍生金融资产||||
应收票据||附注五、（二）|1,526,081,541.94|2,780,597,684.01
应收账款||附注五、（三）|12,555,024,519.58|10,872,458,472.34
应收款项融资||附注五、（四）|1,515,914,114.01|
预付款项||附注五、（五）|673,352,793.02|837,808,116.68
其他应收款||附注五、（六）|1,173,360,042.04|1,056,551,186.68
其中：应收利息||附注五、（六）|1,666,666.70|1,367,876.63
应收股利||附注五、（六）|316,706,053.45|40,036,044.47
存货||附注五、（七）|9,490,040,264.05|9,231,739,097.84
合同资产||||
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产||附注五、（八）|578,841,623.65|2,137,248,054.33
|流动资产合计||45,982,233,135.70|43,031,286,285.39
非流动资产：||||
债权投资||||
其他债权投资||||
长期应收款||||
长期股权投资||附注五、（九）|1,599,025,192.41|1,759,958,035.39
其他权益工具投资||附注五、（十）|81,977,960.04|84,897,870.89
其他非流动金融资产||附注五、（十一）|262,469,919.10|226,938,456.16
投资性房地产||附注五、（十二）|218,199,149.16|228,084,499.83
固定资产||附注五、（十三）|2,923,584,939.66|3,165,746,536.73
在建工程||附注五、（十四）|667,402,454.68|480,305,723.50
生产性生物资产||附注五、（十五）|3,503,295.00|
油气资产||||
使用权资产||附注五、（十六）|842,077,052.31|
无形资产||附注五、（十七）|2,485,288,578.20|1,013,353,424.62
开发支出||附注五、（十八）|2,011,139.26|
商誉||附注五、（十九）|825,573,066.90|825,573,066.90
长期待摊费用||附注五、（二十）|115,785,234.75|94,315,140.82
递延所得税资产||附注五、（二十一）|594,992,161.76|569,144,829.25
其他非流动资产||附注五、（二十二）|289,535,847.27|2,580,000.00
|非流动资产合计||10,911,425,990.50|8,450,897,584.09
|资产总计||56,893,659,126.20|51,482,183,869.48
page|166
编制单位：广州白云山医药集团股份有限公司|||单位：人民币元
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动负债：|||
短期借款|附注五、（二十三）|5,869,008,916.96|5,905,703,286.10
交易性金融负债|附注五、（二十四）||
衍生金融负债|||
应付票据|附注五、（二十五）|3,982,425,654.37|2,656,176,505.09
应付账款|附注五、（二十六）|9,698,952,240.46|9,313,277,657.72
预收款项|||
合同负债|附注五、（二十七）|4,675,361,799.46|3,686,647,223.24
应付职工薪酬|附注五、（二十八）|839,640,308.29|753,034,630.86
应交税费|附注五、（二十九）|248,014,970.03|963,543,253.64
其他应付款|附注五、（三十）|3,227,385,632.70|3,466,357,353.39
其中：应付利息|附注五、（三十）|34,840,834.22|41,637,538.72
应付股利|附注五、（三十）|47,933,025.07|65,917,238.98
持有待售负债|||
一年内到期的非流动负债|附注五、（三十一）|229,361,467.97|204,024,196.93
其他流动负债|附注五、（三十二）|606,814,819.73|
流动负债合计||29,376,965,809.97|26,948,764,106.97
非流动负债：|||
长期借款|附注五、（三十三）|4,500,000.00|413,553,706.06
应付债券|||
其中：优先股|||
永续债|||
租赁负债|附注五、（三十四）|546,994,554.21|
长期应付款|附注五、（三十五）|25,229,042.00|135,795,848.74
长期应付职工薪酬|附注五、（三十六）|329,428.98|325,325.54
预计负债|附注五、（三十七）|53,205,872.32|49,601,312.48
递延收益|附注五、（三十八）|575,837,179.25|490,423,604.73
递延所得税负债|附注五、（二十一）|266,908,733.88|249,762,210.96
其他非流动负债|附注五、（三十九）|54,201,557.40|50,225,000.00
非流动负债合计||1,527,206,368.04|1,389,687,008.51
负债合计||30,904,172,178.01|28,338,451,115.48
股东权益：|||
股本|附注五、（四十）|1,625,790,949.00|1,625,790,949.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|附注五、（四十一）|9,865,084,049.39|9,865,084,049.39
减：库存股|||
其他综合收益|附注五、（四十二）|-138,960.56|-477,139.10
专项储备|||
盈余公积|附注五、（四十三）|1,526,241,180.49|1,368,735,157.63
未分配利润|附注五、（四十四）|11,167,819,445.53|8,825,776,191.86
归属于母公司股东权益合计||24,184,796,663.85|21,684,909,208.78
少数股东权益||1,804,690,284.34|1,458,823,545.22
股东权益合计||25,989,486,948.19|23,143,732,754.00
负债和股东权益总计||56,893,659,126.20|51,482,183,869.48
