page|107
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,079,900,903.02|4,496,280,490.85
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
page|108
代理买卖证券收到的现金净额|||
收到的税费返还|||545,688.14
收到其他与经营活动有关的现金|注释 76|95,886,645.51|73,191,358.45
经营活动现金流入小计||4,175,787,548.53|4,570,017,537.44
购买商品、接受劳务支付的现金||1,853,488,298.71|2,228,763,519.39
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,412,039,313.74|1,379,187,000.40
支付的各项税费||225,112,116.82|235,975,148.34
支付其他与经营活动有关的现金|注释 76|102,318,216.16|112,847,346.37
经营活动现金流出小计||3,592,957,945.43|3,956,773,014.50
经营活动产生的现金流量净额||582,829,603.10|613,244,522.94
二、投资活动产生的现金流量：|||
收回投资收到的现金||366,360,438.67|60,865.95
取得投资收益收到的现金||62,262,817.97|45,466,990.92
处置固定资产、无形资产和其他长期资产收回的现金净额||129,809,934.47|142,351,018.41
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||9,364,978.06|133,030,346.00
投资活动现金流入小计||567,798,169.17|320,909,221.28
购建固定资产、无形资产和其他长期资产支付的现金||508,598,224.52|534,622,578.00
投资支付的现金||712,993,000.00|609,050,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
page|109
支付其他与投资活动有关的现金|注释 76|4,005,474.87|4,429,506.28
投资活动现金流出小计||1,225,596,699.39|1,148,102,084.28
投资活动产生的现金流量净额||-657,798,530.22|-827,192,863.00
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||2,993,520.00
其中：子公司吸收少数股东投资收到的现金|||2,993,520.00
取得借款收到的现金||2,100,000,000.00|1,150,000,000.00
收到其他与筹资活动有关的现金|注释 76|14,362,604.27|10,000,000.00
筹资活动现金流入小计||2,114,362,604.27|1,162,993,520.00
偿还债务支付的现金||1,100,000,000.00|1,150,000,000.00
分配股利、利润或偿付利息支付的现金||101,852,402.66|124,592,441.67
其中：子公司支付给少数股东的股利、利润||101,852,402.66|124,592,441.67
支付其他与筹资活动有关的现金|注释 76|129,419,491.18|38,435,698.27
筹资活动现金流出小计||1,331,271,893.84|1,313,028,139.94
筹资活动产生的现金流量净额||783,090,710.43|-150,034,619.94
四、汇率变动对现金及现金等价物的影响||-5,786.47|17,397.90
五、现金及现金等价物净增加额||708,115,996.84|-363,965,562.10
加：期初现金及现金等价物余额||537,210,115.80|901,175,677.90
六、期末现金及现金等价物余额||1,245,326,112.64|537,210,115.80
