page|104
项目|附注|本期金额|上期金额
一、营业总收入||4,092,180,921.45|3,174,447,984.34
其中：营业收入|五（三十八）|4,092,180,921.45|3,174,447,984.34
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,688,255,668.41|2,815,397,475.86
其中：营业成本|五（三十八）|2,764,082,405.58|2,031,077,490.58
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|五（三十九）|73,680,000.58|52,967,218.70
销售费用|五（四十）|160,839,273.25|119,304,984.59
管理费用|五（四十一）|461,351,293.73|412,266,978.95
研发费用|五（四十二）|9,174,115.29|7,248,094.43
财务费用|五（四十三）|219,128,579.98|192,532,708.61
其中：利息费用||248,624,489.32|227,619,238.30
利息收入||37,609,116.62|40,766,312.30
加：其他收益|五（四十四）|65,121,897.33|80,702,465.93
投资收益（损失以“-”号填列）|五（四十五）|194,626,482.25|267,653,288.72
其中：对联营企业和合营企业的投资收益||110,807,880.12|112,344,957.74
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|五（四十六）|-10,578,509.47|-49,314,344.31
资产减值损失（损失以“-”号填列）|五（四十七）||-11,212,811.47
资产处置收益（损失以“-”号填列）|五（四十八）|56,802,604.16|-78,030.18
三、营业利润（亏损以“-”号填列）||709,897,727.31|646,801,077.17
加：营业外收入|五（四十九）|18,918,697.28|9,899,804.57
减：营业外支出|五（五十）|7,226,826.70|11,972,562.84
四、利润总额（亏损总额以“-”号填列）||721,589,597.89|644,728,318.90
减：所得税费用|五（五十一）|226,009,726.81|202,624,041.34
五、净利润（净亏损以“-”号填列）||495,579,871.08|442,104,277.56
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||495,579,871.08|442,104,277.56
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||374,189,925.18|315,330,883.98
2．少数股东损益（净亏损以“-”号填列）||121,389,945.90|126,773,393.58
六、其他综合收益的税后净额||-54,291.09|-119,721.79
归属于母公司所有者的其他综合收益的税后净额||-54,291.09|-119,721.79
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-54,291.09|-119,721.79
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-54,291.09|-119,721.79
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||495,525,579.99|441,984,555.77
归属于母公司所有者的综合收益总额||374,135,634.09|315,211,162.19
归属于少数股东的综合收益总额||121,389,945.90|126,773,393.58
八、每股收益：|||
（一）基本每股收益（元/股）|五（五十二）|0.2205|0.1858
（二）稀释每股收益（元/股）|五（五十二）|0.2205|0.1858
