page|106
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||4,392,493,871.75|3,250,310,564.04
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||12,523,761.89|13,966,495.94
收到其他与经营活动有关的现金|五（五十三）|528,029,440.10|414,636,542.11
经营活动现金流入小计||4,933,047,073.74|3,678,913,602.09
购买商品、接受劳务支付的现金||1,968,500,032.52|1,435,296,651.13
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||677,197,676.81|589,080,714.94
支付的各项税费||385,489,130.36|455,299,966.48
支付其他与经营活动有关的现金|五（五十三）|659,248,098.88|500,104,486.31
经营活动现金流出小计||3,690,434,938.57|2,979,781,818.86
经营活动产生的现金流量净额||1,242,612,135.17|699,131,783.23
二、投资活动产生的现金流量|||
收回投资收到的现金||183,592,644.83|506,297,853.00
取得投资收益收到的现金||50,684,497.30|36,950,631.45
处置固定资产、无形资产和其他长期资产收回的现金净额||4,189,802.16|423,087.60
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|五（五十三）|17,419,999.74|70,634,465.97
投资活动现金流入小计||255,886,944.03|614,306,038.02
购建固定资产、无形资产和其他长期资产支付的现金||658,446,089.43|973,278,132.74
投资支付的现金||5,500,000.00|235,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五（五十三）|29,529,557.12|70,663,133.84
投资活动现金流出小计||693,475,646.55|1,279,441,266.58
投资活动产生的现金流量净额||-437,588,702.52|-665,135,228.56
三、筹资活动产生的现金流量|||
吸收投资收到的现金||84,400,000.00|
其中：子公司吸收少数股东投资收到的现金||84,400,000.00|
取得借款收到的现金||4,991,178,000.00|5,087,750,000.00
收到其他与筹资活动有关的现金|五（五十三）||22,751,225.00
筹资活动现金流入小计||5,075,578,000.00|5,110,501,225.00
偿还债务支付的现金||5,186,512,765.55|5,564,111,959.98
分配股利、利润或偿付利息支付的现金||466,258,460.54|432,739,257.08
其中：子公司支付给少数股东的股利、利润||85,124,974.38|49,751,295.32
支付其他与筹资活动有关的现金|五（五十三）|84,753,739.84|39,685,654.33
筹资活动现金流出小计||5,737,524,965.93|6,036,536,871.39
筹资活动产生的现金流量净额||-661,946,965.93|-926,035,646.39
四、汇率变动对现金及现金等价物的影响||-58,954.81|-154,115.27
五、现金及现金等价物净增加额||143,017,511.91|-892,193,206.99
加：期初现金及现金等价物余额||1,388,461,982.87|2,280,655,189.86
六、期末现金及现金等价物余额||1,531,479,494.78|1,388,461,982.87
