page|75
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,237,939,248.99|5,917,732,356.22
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净|||
page|76
增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||123,298,912.26|149,387,727.50
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（八十一）|96,947,706.20|107,995,768.58
经营活动现金流入小计||5,458,185,867.45|6,175,115,852.30
购买商品、接受劳务支付的现金||4,218,467,822.38|3,963,735,504.84
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||632,049,379.40|628,408,511.46
支付的各项税费||202,223,191.45|151,277,227.75
支付其他与经营活动有关的现金|（八十一）|176,378,672.08|213,276,756.11
经营活动现金流出小计||5,229,119,065.31|4,956,698,000.16
经营活动产生的现金流量净额||229,066,802.14|1,218,417,852.14
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,429,245,450.52|1,394,246,891.95
取得投资收益收到的现金||312,668,531.73|310,664,064.41
处置固定资产、无形资产和其他长期资产收回的现金净额||1,249,597.95|2,575,299.14
处置子公司及其他营业单位收到的现金净额||10,746,379.20|
收到其他与投资活动有关的现金|（八十一）|96,223,427.15|119,067,357.40
投资活动现金流入小计||2,850,133,386.55|1,826,553,612.90
购建固定资产、无形资产和其他长期资产支付的现金||648,378,066.80|681,947,854.93
投资支付的现金||3,403,787,076.32|1,649,893,190.51
质押贷款净增加额|||
取得子公司及其他营业单位|||
page|77
支付的现金净额|||
支付其他与投资活动有关的现金|（八十一）|22,239,053.83|42,836,552.23
投资活动现金流出小计||4,074,404,196.95|2,374,677,597.67
投资活动产生的现金流量净额||-1,224,270,810.40|-548,123,984.77
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||6,655,393,753.02|4,346,469,498.44
收到其他与筹资活动有关的现金|（八十一）||4,087,443.89
筹资活动现金流入小计||6,655,393,753.02|4,350,556,942.33
偿还债务支付的现金||5,879,249,939.03|4,434,224,026.85
分配股利、利润或偿付利息支付的现金||540,776,472.49|623,198,157.13
其中：子公司支付给少数股东的股利、利润||30,568,000.00|25,879,576.92
支付其他与筹资活动有关的现金|（八十一）|20,225,101.95|17,671,970.75
筹资活动现金流出小计||6,440,251,513.47|5,075,094,154.73
筹资活动产生的现金流量净额||215,142,239.55|-724,537,212.40
四、汇率变动对现金及现金等价物的影响||-72,166,716.52|10,877,256.99
五、现金及现金等价物净增加额||-852,228,485.23|-43,366,088.04
加：期初现金及现金等价物余额||2,971,773,063.42|3,015,139,151.46
六、期末现金及现金等价物余额||2,119,544,578.19|2,971,773,063.42
