page|64
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,036,517,273.35|3,999,917,789.06
收到的税费返还||15,163,018.80|11,762,378.75
收到其他与经营活动有关的现金|五、（五十六）|23,560,106.70|75,578,946.41
经营活动现金流入小计||4,075,240,398.85|4,087,259,114.22
购买商品、接受劳务支付的现金||2,460,479,576.48|2,587,623,160.58
支付给职工以及为职工支付的现金||596,525,873.07|569,913,217.73
支付的各项税费||225,476,308.14|234,852,969.30
支付其他与经营活动有关的现金|五、（五十六）|408,644,159.57|381,820,873.38
经营活动现金流出小计||3,691,125,917.26|3,774,210,220.99
经营活动产生的现金流量净额||384,114,481.59|313,048,893.23
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,371,181,057.68|697,508,592.48
取得投资收益收到的现金||99,347,847.36|65,667,318.50
处置固定资产、无形资产和其他长期资产收回的现金净额||18,921,259.31|2,312,805.70
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||3,489,450,164.35|765,488,716.68
购建固定资产、无形资产和其他长期资产支付的现金||260,334,629.51|109,285,455.30
投资支付的现金||3,939,334,259.84|776,617,923.35
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||4,199,668,889.35|885,903,378.65
投资活动产生的现金流量净额||-710,218,725.00|-120,414,661.97
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||513,011,511.95|1,500,000.00
其中：子公司吸收少数股东投资收到的现金||4,900,000.00|1,500,000.00
取得借款收到的现金||990,310,562.20|189,412,227.17
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,503,322,074.15|190,912,227.17
page|65
偿还债务支付的现金||903,627,998.88|178,822,003.97
分配股利、利润或偿付利息支付的现金||60,709,799.35|94,435,069.26
其中：子公司支付给少数股东的股利、利润|||3,430,000.00
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||964,337,798.23|273,257,073.23
筹资活动产生的现金流量净额||538,984,275.92|-82,344,846.06
四、汇率变动对现金及现金等价物的影响||10,675,881.25|10,742,806.89
五、现金及现金等价物净增加额||223,555,913.76|121,032,192.09
加：期初现金及现金等价物余额||950,778,071.05|829,745,878.96
六、期末现金及现金等价物余额||1,174,333,984.81|950,778,071.05
