page|61
项             目|附注|本期发生额|上期发生额
一、营业收入|五、（四十一）|3,820,829,826.34|3,606,442,563.49
减：营业成本|五、（四十一）|2,691,956,285.50|2,551,592,627.13
税金及附加|五、（四十二）|36,304,526.94|31,094,633.94
销售费用|五、（四十三）|467,204,363.56|452,607,085.97
管理费用|五、（四十四）|248,618,212.72|207,195,518.39
研发费用|五、（四十五）|128,507,129.47|95,353,624.78
财务费用|五、（四十六）|38,580,398.37|-7,010,168.37
其中：利息费用||37,519,506.30|38,063,132.38
利息收入||11,859,627.03|19,531,468.82
加：其他收益|五、（四十七）|11,646,497.30|16,534,904.43
投资收益（损失以“－”号填列）|五、（四十八）|69,679,438.36|73,046,793.55
其中：对联营企业和合营企业的投资收益||27,878,080.92|17,424,580.77
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|五、（四十九）|265,687,187.08|-123,044.12
信用减值损失（损失以“－”号填列）|五、（五十）|-26,640,161.61|
资产减值损失（损失以“－”号填列）|五、（五十一）|-3,056,078.09|-29,586,532.13
资产处置收益（损失以“－”号填列）|五、（五十二）|12,411,489.40|12,371,748.69
二、营业利润（亏损以“－”号填列）||539,387,282.22|347,853,112.07
加：营业外收入|五、（五十三）|5,961,302.58|6,052,573.68
减：营业外支出|五、（五十四）|4,395,550.53|6,534,909.28
三、利润总额（亏损总额以“－”号填列）||540,953,034.27|347,370,776.47
减：所得税费用|五、（五十五）|72,263,536.54|45,465,722.92
四、净利润（净亏损以“－”号填列）||468,689,497.73|301,905,053.55
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||468,689,497.73|301,905,053.55
page|62
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||455,052,649.43|282,366,451.52
2.少数股东损益（净亏损以“－”号填列）||13,636,848.30|19,538,602.03
五、其他综合收益的税后净额||46,564,863.81|-138,282,847.68
（一）归属母公司股东的其他综合收益的税后净额||46,528,661.45|-138,455,701.97
1.不能重分类进损益的其他综合收益||18,675,915.42|-4,673,481.63
（1）重新计量设定受益计划变动额||-590,323.60|-4,673,481.63
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||19,266,239.02|
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||27,852,746.03|-133,782,220.34
（1）权益法下可转损益的其他综合收益||169,671.92|-1,200,971.84
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-105,970,011.84
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||27,683,074.11|-26,611,236.66
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||36,202.36|172,854.29
六、综合收益总额||515,254,361.54|163,622,205.87
（一）归属于母公司股东的综合收益总额||501,581,310.88|143,910,749.55
（二）归属于少数股东的综合收益总额||13,673,050.66|19,711,456.32
七、每股收益|||
（一）基本每股收益||0.68|0.43
（二）稀释每股收益||0.68|0.43
